locus,cluster,Condition,log2FoldChange,padj,Pathway,Protein,Process,Process.abbr,Gene.names
slr0529,1,sll1969,-0.059207054220976,0.90655731329599,NA,glucosylglycerol transport system substrate-binding protein,Transport and binding proteins,Transport,slr0529
sll0157,1,sll1969,-0.048440688437777,0.957633702551168,NA,hypothetical protein,Hypothetical,Hypoth,sll0157
slr0320,1,sll1969,-0.047053169335586,0.949137435185377,NA,hypothetical protein,Hypothetical,Hypoth,slr0320
slr1884,1,sll1969,-0.0383278947339,0.958841178563973,Aminoacyl tRNA synthetases and tRNA modification,tryptophanyl-tRNA synthetase,Translation,Translat,trpS slr1884
slr0601,1,sll1969,-0.019125438134823,0.961445848891558,NA,unknown protein,Unknown,Unknown,slr0601
sll0185,1,sll1969,0.013162425396954,0.984346718755935,"RNA synthesis, modification, and DNA transcription","putative Rho-like protein, DNA-templated transcription, termination",Transcription,Transcript,sll0185
slr0193,1,sll1969,0.024652346830443,0.963184783247351,Nucleoproteins,RNA-binding protein,Translation,Translat,slr0193
sll0141,1,sll1969,0.051153776457243,0.966888023801119,NA,hypothetical protein,Hypothetical,Hypoth,sll0141
slr1291,1,sll1969,0.059121405810913,0.948717374138197,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,ndhD2 slr1291
slr1254,1,sll1969,0.063287773490286,0.93992996918324,Carotenoid,phytoene dehydrogenase (phytoene desaturase),"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,pds crtD slr1254
slr2034,1,sll1969,0.08198639454467,0.88115196478768,Photosystem II,"putative homolog of plant HCF136, which is essential for stability or assembly of photosystem II",Photosynthesis and respiration,Photosynth,slr2034
slr0602,1,sll1969,0.082896313396121,0.917098278707033,NA,unknown protein,Unknown,Unknown,slr0602
slr6040,1,sll1969,0.095430307043473,0.822607678148398,NA,two-component response regulator,Regulatory functions,Regul,slr6040
sll0689,1,sll1969,0.096505371787829,0.890174938032855,NA,Na+/H+ antiporter,Transport and binding proteins,Transport,nhaS3 sll0689
slr0228,1,sll1969,0.096904201291124,0.819590794251096,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH2 slr0228
sll1867,1,sll1969,0.096938701414302,0.848354178368354,Photosystem II,photosystem II D1 protein,Photosynthesis and respiration,Photosynth,sll1867
sll0749,1,sll1969,0.098137370040432,0.890174938032855,NA,hypothetical protein,Hypothetical,Hypoth,sll0749
slr0940,1,sll1969,0.100939272024972,0.920335419448119,Carotenoid,zeta-carotene desaturase,"Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,crtQ slr0940
slr1322,1,sll1969,0.101872550823031,0.879787876317022,NA,putative modulator of DNA gyrase; TldD,"DNA replication, restriction, modification, recombination, and repair",DNArep,slr1322
sll0529,1,sll1969,0.102526665934401,0.84652323814627,Pentose phosphate pathway,"putative phospho-ketolase, transketolase",Energy metabolism,Energy,sll0529
sll0102,1,sll1969,0.124377482774896,0.758703830411428,NA,hypothetical protein,Hypothetical,Hypoth,sll0102
sll0789,1,sll1969,0.125815881812618,0.771298581561797,NA,two-component response regulator OmpR subfamily,Regulatory functions,Regul,sll0789
slr0838,1,sll1969,0.150220083086671,0.819236643199954,Purine ribonucleotide biosynthesis,phosphoribosyl formylglycinamidine cyclo-ligase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,purM slr0838
ssl2250,1,sll1969,0.167464477202844,0.758703830411428,Drug and analog sensitivity,bacterioferritin-associated ferredoxin,Other categories,Other,ssl2250
slr6039,1,sll1969,0.170018944307082,0.741421222796504,NA,hypothetical protein,Hypothetical,Hypoth,slr6039
sll2012,1,sll1969,0.173313655769147,0.823149950378216,"RNA synthesis, modification, and DNA transcription",group2 RNA polymerase sigma factor SigD,Transcription,Transcript,sll2012
slr0947,1,sll1969,0.18062669377216,0.779192181017941,NA,response regulator for energy transfer from phycobilisomes to photosystems,Regulatory functions,Regul,slr0947
sll1682,1,sll1969,0.181315668160461,0.706589179722348,Amino acids and amines,alanine dehydrogenase,Energy metabolism,Energy,sll1682
sll1316,1,sll1969,0.181800254899016,0.619728392923069,Cytochrome b6/f complex,cytochrome b6-f complex iron-sulfur subunit (Rieske iron sulfur protein),Photosynthesis and respiration,Photosynth,petC2 sll1316
sll0108,1,sll1969,0.182573242042142,0.45658835967443,NA,ammonium/methylammonium permease,Transport and binding proteins,Transport,sll0108
sll0330,1,sll1969,0.185303636811888,0.948250380210559,NA,sepiapterine reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,sll0330
sll1566,1,sll1969,0.19575471654622,0.674347428193009,Polysaccharides and glycoproteins,glucosylglycerolphosphate synthase,Central intermediary metabolism,CentralMet,ggpS sll1566
slr1783,1,sll1969,0.201616213033196,0.540885166536556,NA,two-component response regulator NarL subfamily,Regulatory functions,Regul,slr1783
slr1531,1,sll1969,0.202803581518768,0.63164841981226,Protein and peptide secretion,signal recognition particle protein,Cellular processes,CellProc,ffh slr1531
sll0788,1,sll1969,0.204785588510848,0.686500854376624,NA,hypothetical protein,Hypothetical,Hypoth,sll0788
slr0841,1,sll1969,0.21180986742342,0.580991740066096,NA,"periplasmic protein, function unknown",Unknown,Unknown,slr0841
sll0834,1,sll1969,0.222931896271803,0.799911200413523,NA,low affinity sulfate transporter,Transport and binding proteins,Transport,sll0834
sll1915,1,sll1969,0.225941875291758,0.568711399065453,Drug and analog sensitivity,"putative glyoxalase, antibiotic resistance, or dioxygenase protein",Other categories,Other,sll1915
ssl7039,1,sll1969,0.226393901299672,0.646744790512879,NA,hypothetical protein,Hypothetical,Hypoth,ssl7039
slr1208,1,sll1969,0.226737251782538,0.594915559182937,Other,probable oxidoreductase,Other categories,Other,slr1208
slr0927,1,sll1969,0.228651462058258,0.484055575774819,Photosystem II,photosystem II reaction center D2 protein,Photosynthesis and respiration,Photosynth,slr0927
ssl1263,1,sll1969,0.233735066093621,0.594091774077221,NA,hypothetical protein,Hypothetical,Hypoth,ssl1263
slr1928,1,sll1969,0.235370192102245,0.726315430728052,NA,type 4 pilin-like protein,Unknown,Unknown,slr1928
slr1051,1,sll1969,0.239450163008851,0.586328721664259,NA,enoyl-[acyl-carrier-protein] reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,fabI envM slr1051
slr2007,1,sll1969,0.239606907425852,0.856821394322269,NADH dehydrogenase,NADH dehydrogenase subunit 4,Photosynthesis and respiration,Photosynth,slr2007
sll1267,1,sll1969,0.241756709348036,0.416610047372678,NA,unknown protein,Unknown,Unknown,sll1267
slr1604,1,sll1969,0.24267347474631,0.646744790512879,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH3 slr1604
sll1425,1,sll1969,0.244173601284585,0.554011638317244,Aminoacyl tRNA synthetases and tRNA modification,proline-tRNA ligase,Translation,Translat,proS sll1425
sll1390,1,sll1969,0.245010743169033,0.468534366460192,NA,hypothetical protein,Hypothetical,Hypoth,sll1390
slr2051,1,sll1969,0.252321646588168,0.385985241628764,Phycobilisome,phycobilisome rod-core linker polypeptide,Photosynthesis and respiration,Photosynth,slr2051
sll0616,1,sll1969,0.256539271835203,0.560875377264511,Protein and peptide secretion,preprotein translocase SecA subunit,Cellular processes,CellProc,secA sll0616
ssl0511,1,sll1969,0.259173268976029,0.71845405969724,NA,hypothetical protein,Hypothetical,Hypoth,ssl0511
slr0455,1,sll1969,0.259376593212127,0.613150716566252,NA,hypothetical protein,Hypothetical,Hypoth,slr0455
sll1194,1,sll1969,0.263310640272097,0.463972547088527,Photosystem II,photosystem II 12 kDa extrinsic protein,Photosynthesis and respiration,Photosynth,psbU sll1194
sll0645,1,sll1969,0.265138821238744,0.568711399065453,NA,unknown protein,Unknown,Unknown,sll0645
slr0355,1,sll1969,0.284188252783091,0.586328721664259,NA,hypothetical protein,Hypothetical,Hypoth,slr0355
sll0615,1,sll1969,0.288798728756323,0.576301489016097,NA,hypothetical protein,Hypothetical,Hypoth,sll0615
ssl0294,1,sll1969,0.29625185191638,0.375510049539544,NA,hypothetical protein,Hypothetical,Hypoth,ssl0294
sll1732,1,sll1969,0.302989952628829,0.739318761178103,NADH dehydrogenase,"NADH dehydrogenase subunit 5 (involved in low CO2-inducible, high affinity CO2 uptake)",Photosynthesis and respiration,Photosynth,sll1732
ssr2723,1,sll1969,0.307903113917002,0.560875377264511,NA,hypothetical protein,Hypothetical,Hypoth,ssr2723
sll0909,1,sll1969,0.310549164564402,0.728972899516512,NA,unknown protein,Unknown,Unknown,sll0909
slr0093,1,sll1969,0.323310070371352,0.596943088370523,Chaperones,"DnaJ protein, heat shock protein 40, molecular chaperone",Cellular processes,CellProc,slr0093
slr1440,1,sll1969,0.3314630593812,0.618350089052469,NA,hypothetical protein,Hypothetical,Hypoth,slr1440
sll0761,1,sll1969,0.337343532207201,0.460925220985353,NA,unknown protein,Unknown,Unknown,sll0761
sll0944,1,sll1969,0.339794518128873,0.560875377264511,NA,hypothetical protein,Hypothetical,Hypoth,sll0944
ssr2194,1,sll1969,0.342256256774873,0.885501971753292,NA,unknown protein,Unknown,Unknown,ssr2194
slr2024,1,sll1969,0.347246088910981,0.461653786480456,NA,two-component response regulator CheY subfamily,Regulatory functions,Regul,slr2024
sll1796,1,sll1969,0.34917330329269,0.405174319206551,Soluble electron carriers,cytochrome c553,Photosynthesis and respiration,Photosynth,petJ sll1796
slr1133,1,sll1969,0.351183345083703,0.407609697359728,Glutamate family / Nitrogen assimilation,L-argininosuccinate lyase,Amino acid biosynthesis,AminoAcids,argH slr1133
ssr2831,1,sll1969,0.355084246254861,0.407609697359728,Photosystem I,photosystem I subunit IV,Photosynthesis and respiration,Photosynth,psaE ssr2831
slr1704,1,sll1969,0.366271768737245,0.853891641285139,NA,hypothetical protein,Hypothetical,Hypoth,slr1704
sll1561,1,sll1969,0.376182996471415,0.341072525905081,Amino acids and amines,proline oxidase,Energy metabolism,Energy,sll1561
slr0925,1,sll1969,0.386790621357867,0.460925220985353,NA,single-stranded DNA-binding protein,"DNA replication, restriction, modification, recombination, and repair",DNArep,ssb slr0925
sll0662,1,sll1969,0.390387287301471,0.407609697359728,"Thioredoxin, glutaredoxin, and glutathione","4Fe-4S type iron-sulfur protein, probable glutaredoxin","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,sll0662
sll0858,1,sll1969,0.399142469857853,0.756733072512235,NA,hypothetical protein,Hypothetical,Hypoth,sll0858
slr0818,1,sll1969,0.411255421830526,0.560875377264511,NA,hypothetical protein,Hypothetical,Hypoth,slr0818
slr2070,1,sll1969,0.412259186134263,0.388066056871306,NA,hypothetical protein,Hypothetical,Hypoth,slr2070
sll1891,1,sll1969,0.420194657045089,0.463360809618855,NA,unknown protein,Unknown,Unknown,sll1891
slr1811,1,sll1969,0.427573295998225,0.407609697359728,NA,hypothetical protein,Hypothetical,Hypoth,slr1811
sll1119,1,sll1969,0.431552627660854,0.535892869512435,NA,hypothetical protein,Hypothetical,Hypoth,sll1119
sll1426,1,sll1969,0.435785678971186,0.45658835967443,NA,unknown protein,Unknown,Unknown,sll1426
slr0081,1,sll1969,0.44142375080599,0.540885166536556,NA,two-component response regulator OmpR subfamily,Regulatory functions,Regul,slr0081
ssl2501,1,sll1969,0.445371095723347,0.407609697359728,NA,unknown protein,Unknown,Unknown,ssl2501
slr1734,1,sll1969,0.450007842816073,0.407609697359728,Pentose phosphate pathway,glucose 6-phosphate dehydrogenase assembly protein,Energy metabolism,Energy,opcA slr1734
slr1993,1,sll1969,0.459224987595702,0.238056032838682,NA,PHA-specific beta-ketothiolase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,slr1993
sll0550,1,sll1969,0.46354122702425,0.289140731723552,Other,flavoprotein,Other categories,Other,dfa1 sll0550
slr0681,1,sll1969,0.471344512189449,0.437018309428036,NA,probable sodium/calcium exchanger protein,Transport and binding proteins,Transport,slr0681
slr0967,1,sll1969,0.471755059546059,0.560875377264511,NA,hypothetical protein,Hypothetical,Hypoth,slr0967
sll0661,1,sll1969,0.473909619120458,0.416610047372678,NA,hypothetical protein YCF35,Hypothetical,Hypoth,sll0661
sll0426,1,sll1969,0.48587016479356,0.407609697359728,NA,unknown protein,Unknown,Unknown,sll0426
sll1774,1,sll1969,0.497915990930911,0.407609697359728,NA,hypothetical protein,Hypothetical,Hypoth,sll1774
sll1835,1,sll1969,0.509504269012961,0.488464921148694,"Membranes, lipoproteins, and porins","putative curli production assembly/transport component, periplasmic protein",Cell envelope,Envelope,sll1835
slr1137,1,sll1969,0.510767375744503,0.059228208828034,Respiratory terminal oxidases,cytochrome c oxidase subunit I,Photosynthesis and respiration,Photosynth,ctaD slr1137
sll0103,1,sll1969,0.5249770346575,0.341072525905081,NA,hypothetical protein,Hypothetical,Hypoth,sll0103
slr1136,1,sll1969,0.535646940153888,0.228022362945361,Respiratory terminal oxidases,cytochrome c oxidase subunit II,Photosynthesis and respiration,Photosynth,ctaC coxB slr1136
sll0617,1,sll1969,0.536864368195001,0.330148532844613,"Membranes, lipoproteins, and porins",plasma membrane protein essential for thylakoid formation,Cell envelope,Envelope,sll0617
ssl0832,1,sll1969,0.545342699412685,0.560875377264511,NA,hypothetical protein,Hypothetical,Hypoth,ssl0832
ssr1853,1,sll1969,0.551983919717809,0.468534366460192,NA,unknown protein,Unknown,Unknown,ssr1853
sll1692,1,sll1969,0.560760611787403,0.460925220985353,NA,hypothetical protein,Hypothetical,Hypoth,sll1692
ssr2153,1,sll1969,0.610932839272094,0.707492500545593,NA,unknown protein,Unknown,Unknown,ssr2153
sll1011,1,sll1969,0.6118305434475,0.390768871367088,NA,hypothetical protein,Hypothetical,Hypoth,sll1011
sll0493,1,sll1969,0.685939522907558,0.405530986027319,NA,hypothetical protein,Hypothetical,Hypoth,sll0493
sll1691,1,sll1969,0.882690609926158,0.560875377264511,NA,hypothetical protein,Hypothetical,Hypoth,sll1691
ssr2194,1,slr1340,-0.412746395157565,0.792917056615115,NA,unknown protein,Unknown,Unknown,ssr2194
slr0681,1,slr1340,-0.361681520363154,0.343620391882403,NA,probable sodium/calcium exchanger protein,Transport and binding proteins,Transport,slr0681
slr5037,1,slr1340,-0.204929626793698,NA,NA,hypothetical protein,Hypothetical,Hypoth,slr5037
slr0602,1,slr1340,-0.175234444553663,0.70805349834969,NA,unknown protein,Unknown,Unknown,slr0602
sll0330,1,slr1340,-0.132730615430368,0.94113343733803,NA,sepiapterine reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,sll0330
slr1704,1,slr1340,-0.053075190447922,0.976652338439403,NA,hypothetical protein,Hypothetical,Hypoth,slr1704
slr0601,1,slr1340,-0.013922426552932,0.966145587236824,NA,unknown protein,Unknown,Unknown,slr0601
sll0788,1,slr1340,0.008774337419142,0.987402961175449,NA,hypothetical protein,Hypothetical,Hypoth,sll0788
slr6040,1,slr1340,0.031568126891469,0.926579026433584,NA,two-component response regulator,Regulatory functions,Regul,slr6040
sll0789,1,slr1340,0.051446481487653,0.880052041377636,NA,two-component response regulator OmpR subfamily,Regulatory functions,Regul,sll0789
slr1440,1,slr1340,0.061468659894281,NA,NA,hypothetical protein,Hypothetical,Hypoth,slr1440
slr0529,1,slr1340,0.07190805683161,0.835227546501602,NA,glucosylglycerol transport system substrate-binding protein,Transport and binding proteins,Transport,slr0529
sll0108,1,slr1340,0.096298171682576,0.548732504272607,NA,ammonium/methylammonium permease,Transport and binding proteins,Transport,sll0108
ssr2831,1,slr1340,0.119578454750895,0.681938573495732,Photosystem I,photosystem I subunit IV,Photosynthesis and respiration,Photosynth,psaE ssr2831
slr1928,1,slr1340,0.12986764848634,0.795931091628416,NA,type 4 pilin-like protein,Unknown,Unknown,slr1928
slr0841,1,slr1340,0.131793936724414,0.635053645570899,NA,"periplasmic protein, function unknown",Unknown,Unknown,slr0841
slr2051,1,slr1340,0.141732983514107,0.410672633927738,Phycobilisome,phycobilisome rod-core linker polypeptide,Photosynthesis and respiration,Photosynth,slr2051
sll0749,1,slr1340,0.144013662888726,0.74938727138677,NA,hypothetical protein,Hypothetical,Hypoth,sll0749
slr1350,1,slr1340,0.159743660812823,0.658908730177839,NA,acyl-lipid desaturase (delta 12),"Fatty acid, phospholipid and sterol metabolism",FattyAcids,desA slr1350
sll0426,1,slr1340,0.162851460433717,0.672292827372194,NA,unknown protein,Unknown,Unknown,sll0426
slr6039,1,slr1340,0.163380896717142,0.639639537043259,NA,hypothetical protein,Hypothetical,Hypoth,slr6039
ssl2501,1,slr1340,0.170661932136138,0.640427903917227,NA,unknown protein,Unknown,Unknown,ssl2501
sll1267,1,slr1340,0.186672199636545,0.324240735325385,NA,unknown protein,Unknown,Unknown,sll1267
slr1544,1,slr1340,0.192972280758099,0.696659319552782,NA,unknown protein,Unknown,Unknown,slr1544
sll1390,1,slr1340,0.198958010581869,0.369776571091152,NA,hypothetical protein,Hypothetical,Hypoth,sll1390
slr0927,1,slr1340,0.20084187470653,0.340548924336622,Photosystem II,photosystem II reaction center D2 protein,Photosynthesis and respiration,Photosynth,slr0927
slr1051,1,slr1340,0.201606810696958,0.51236991675646,NA,enoyl-[acyl-carrier-protein] reductase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,fabI envM slr1051
slr1208,1,slr1340,0.21151347733972,0.469955622909681,Other,probable oxidoreductase,Other categories,Other,slr1208
sll1796,1,slr1340,0.219420461749977,0.400023358995083,Soluble electron carriers,cytochrome c553,Photosynthesis and respiration,Photosynth,petJ sll1796
slr1531,1,slr1340,0.219530414112915,0.437918226415085,Protein and peptide secretion,signal recognition particle protein,Cellular processes,CellProc,ffh slr1531
sll1566,1,slr1340,0.220580145419785,0.482834731159381,Polysaccharides and glycoproteins,glucosylglycerolphosphate synthase,Central intermediary metabolism,CentralMet,ggpS sll1566
sll0102,1,slr1340,0.222407099758762,0.383786912241144,NA,hypothetical protein,Hypothetical,Hypoth,sll0102
sll0157,1,slr1340,0.223209854402773,0.663287610423607,NA,hypothetical protein,Hypothetical,Hypoth,sll0157
slr0355,1,slr1340,0.230614231455896,0.525807917141442,NA,hypothetical protein,Hypothetical,Hypoth,slr0355
sll1483,1,slr1340,0.2406667294535,0.769679877717897,"Membranes, lipoproteins, and porins","periplasmic protein, similar to transforming growth factor induced protein",Cell envelope,Envelope,sll1483
sll1915,1,slr1340,0.269958114190924,0.313776070041908,Drug and analog sensitivity,"putative glyoxalase, antibiotic resistance, or dioxygenase protein",Other categories,Other,sll1915
ssr2595,1,slr1340,0.278104935880044,0.608014511367565,Adaptations and atypical conditions,"high light-inducible polypeptide HliB, CAB/ELIP/HLIP superfamily",Other categories,Other,ssr2595
sll1425,1,slr1340,0.279453507303986,0.283270403807435,Aminoacyl tRNA synthetases and tRNA modification,proline-tRNA ligase,Translation,Translat,proS sll1425
ssl0294,1,slr1340,0.284387536746001,0.143292281208803,NA,hypothetical protein,Hypothetical,Hypoth,ssl0294
ssl7039,1,slr1340,0.291205351469898,NA,NA,hypothetical protein,Hypothetical,Hypoth,ssl7039
sll0615,1,slr1340,0.293161319402789,0.403839338236428,NA,hypothetical protein,Hypothetical,Hypoth,sll0615
slr1783,1,slr1340,0.298499182871907,0.144568689082283,NA,two-component response regulator NarL subfamily,Regulatory functions,Regul,slr1783
ssr2153,1,slr1340,0.30394833503735,0.806543029521991,NA,unknown protein,Unknown,Unknown,ssr2153
slr0455,1,slr1340,0.326542407657929,0.334684437476576,NA,hypothetical protein,Hypothetical,Hypoth,slr0455
sll0645,1,slr1340,0.328134582150419,0.294352465245939,NA,unknown protein,Unknown,Unknown,sll0645
sll1561,1,slr1340,0.333087544624095,0.159142793185991,Amino acids and amines,proline oxidase,Energy metabolism,Energy,sll1561
sll1194,1,slr1340,0.334953508044125,0.14240170592324,Photosystem II,photosystem II 12 kDa extrinsic protein,Photosynthesis and respiration,Photosynth,psbU sll1194
slr1137,1,slr1340,0.344565049356799,0.105698558703729,Respiratory terminal oxidases,cytochrome c oxidase subunit I,Photosynthesis and respiration,Photosynth,ctaD slr1137
sll1426,1,slr1340,0.350094123000456,0.335703862305187,NA,unknown protein,Unknown,Unknown,sll1426
sll1316,1,slr1340,0.358793255192061,0.131101991899944,Cytochrome b6/f complex,cytochrome b6-f complex iron-sulfur subunit (Rieske iron sulfur protein),Photosynthesis and respiration,Photosynth,petC2 sll1316
slr0838,1,slr1340,0.369034851064972,0.351563875596612,Purine ribonucleotide biosynthesis,phosphoribosyl formylglycinamidine cyclo-ligase,"Purines, pyrimidines, nucleosides, and nucleotides",Nucleot,purM slr0838
sll0103,1,slr1340,0.386749367275799,0.251566759168394,NA,hypothetical protein,Hypothetical,Hypoth,sll0103
sll0858,1,slr1340,0.396712529797643,0.645309187444908,NA,hypothetical protein,Hypothetical,Hypoth,sll0858
sll0550,1,slr1340,0.401026483201217,0.136186717357743,Other,flavoprotein,Other categories,Other,dfa1 sll0550
sll0529,1,slr1340,0.403652783553777,0.212082892819537,Pentose phosphate pathway,"putative phospho-ketolase, transketolase",Energy metabolism,Energy,sll0529
slr0228,1,slr1340,0.408312290575369,0.105698558703729,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH2 slr0228
slr0818,1,slr1340,0.419925195756508,0.366809892233167,NA,hypothetical protein,Hypothetical,Hypoth,slr0818
ssr1853,1,slr1340,0.42416039469316,0.397888273036982,NA,unknown protein,Unknown,Unknown,ssr1853
sll0761,1,slr1340,0.431463317430665,0.1245690848056,NA,unknown protein,Unknown,Unknown,sll0761
slr2070,1,slr1340,0.432082092554072,0.136186717357743,NA,hypothetical protein,Hypothetical,Hypoth,slr2070
sll0616,1,slr1340,0.437255071606806,0.1245690848056,Protein and peptide secretion,preprotein translocase SecA subunit,Cellular processes,CellProc,secA sll0616
ssr2723,1,slr1340,0.442414394342326,0.206904714161408,NA,hypothetical protein,Hypothetical,Hypoth,ssr2723
sll1867,1,slr1340,0.448992863338894,0.140864517837908,Photosystem II,photosystem II D1 protein,Photosynthesis and respiration,Photosynth,sll1867
slr1734,1,slr1340,0.454082548871166,0.182975254884636,Pentose phosphate pathway,glucose 6-phosphate dehydrogenase assembly protein,Energy metabolism,Energy,opcA slr1734
sll1774,1,slr1340,0.457059046361068,0.227040448651474,NA,hypothetical protein,Hypothetical,Hypoth,sll1774
ssl0832,1,slr1340,0.459997173776701,0.441650712814179,NA,hypothetical protein,Hypothetical,Hypoth,ssl0832
sll1891,1,slr1340,0.462363763784957,0.212854890030167,NA,unknown protein,Unknown,Unknown,sll1891
slr1687,1,slr1340,0.469186426002955,0.433187265957655,NA,hypothetical protein,Hypothetical,Hypoth,slr1687
slr0093,1,slr1340,0.472732338795214,0.252361592278123,Chaperones,"DnaJ protein, heat shock protein 40, molecular chaperone",Cellular processes,CellProc,slr0093
sll1119,1,slr1340,0.474791047852708,0.283571563371748,NA,hypothetical protein,Hypothetical,Hypoth,sll1119
slr2034,1,slr1340,0.485661092759421,0.105698558703729,Photosystem II,"putative homolog of plant HCF136, which is essential for stability or assembly of photosystem II",Photosynthesis and respiration,Photosynth,slr2034
slr1811,1,slr1340,0.490132737713094,0.134356263422356,NA,hypothetical protein,Hypothetical,Hypoth,slr1811
sll1541,1,slr1340,0.497049318304675,0.31457726376595,Carotenoid,"Apocarotenoid-15,15-oxygenase (ACO)","Biosynthesis of cofactors, prosthetic groups, and carriers",Cofactors,sll1541
ssl2542,1,slr1340,0.501565167477739,0.415058044635059,Adaptations and atypical conditions,"high light-inducible polypeptide HliA, CAB/ELIP/HLIP superfamily",Other categories,Other,ssl2542
slr0193,1,slr1340,0.504608768518186,0.106577661936533,Nucleoproteins,RNA-binding protein,Translation,Translat,slr0193
slr2024,1,slr1340,0.51045274993644,0.086402266282577,NA,two-component response regulator CheY subfamily,Regulatory functions,Regul,slr2024
slr1105,1,slr1340,0.517629247543785,0.164571072998884,Protein modification and translation factors,GTP-binding protein TypA/BipA homolog,Translation,Translat,typA slr1105
sll1682,1,slr1340,0.51830008240277,0.089055892888743,Amino acids and amines,alanine dehydrogenase,Energy metabolism,Energy,sll1682
slr1993,1,slr1340,0.519277905109687,0.032682495917107,NA,PHA-specific beta-ketothiolase,"Fatty acid, phospholipid and sterol metabolism",FattyAcids,slr1993
slr0925,1,slr1340,0.523370991099282,0.105698558703729,NA,single-stranded DNA-binding protein,"DNA replication, restriction, modification, recombination, and repair",DNArep,ssb slr0925
sll0759,1,slr1340,0.54409702200885,0.208726554447065,NA,ABC transporter ATP-binding protein,Transport and binding proteins,Transport,sll0759
slr1604,1,slr1340,0.558055031973051,0.102640678989127,Cell division,cell division protein FtsH,Cellular processes,CellProc,ftsH3 slr1604
ssl0511,1,slr1340,0.560262758899184,0.224407850323113,NA,hypothetical protein,Hypothetical,Hypoth,ssl0511
slr1133,1,slr1340,0.567710938638967,0.026813915712662,Glutamate family / Nitrogen assimilation,L-argininosuccinate lyase,Amino acid biosynthesis,AminoAcids,argH slr1133
slr1136,1,slr1340,0.571098316363521,0.041498095625005,Respiratory terminal oxidases,cytochrome c oxidase subunit II,Photosynthesis and respiration,Photosynth,ctaC coxB slr1136
sll0909,1,slr1340,0.576130231771152,NA,NA,unknown protein,Unknown,Unknown,sll0909
