,reaction_id,reaction_name,reaction_reaction,genes,EC_number,groups,kegg_reaction,metanetx_reaction,seed_reaction
24,EX_thymd_e,EX_thymd_e,thymd_e --> ,,,,,MNXR104821,"['rxn09299', 'rxn10916']"
25,EX_ala__L_e,EX_ala__L_e,ala__L_e --> ,,,,,MNXR95706,"['rxn08104', 'rxn10921', 'rxn13221']"
26,EX_3hcinnm_e,EX_3hcinnm_e,3hcinnm_e --> ,,,,,MNXR100571,rxn08702
27,EX_mg2_e,EX_mg2_e,mg2_e <=> ,,,,,MNXR101507,"['rxn05616', 'rxn08922', 'rxn08923']"
28,EX_idon_e,EX_idon_e,idon__L_e --> ,,,,,,
29,EX_gbbtn_e,EX_gbbtn_e,gbbtn_e --> ,,,,,MNXR100053,rxn08595
30,EX_cit_e,EX_cit_e,cit_e --> ,,,,,MNXR96756,"['rxn08217', 'rxn10946']"
31,EX_da_e,EX_da_e,dad_2_e --> ,,,,,,
32,EX_catech_e,EX_catech_e,catechol_e --> ,,,,,,
33,EX_adn_e,EX_adn_e,adn_e --> ,,,,,MNXR95460,"['rxn08069', 'rxn11000']"
34,EX_glu__L_e,EX_glu__L_e,glu__L_e --> ,,,,,MNXR100301,"['rxn08633', 'rxn09750', 'rxn10917', 'rxn13120', 'rxn13304']"
35,EX_benzot_e,EX_benzot_e,bz_e --> ,,,,,,
36,EX_gly__L_e,EX_gly__L_e,gly_e --> ,,,,,,
37,EX_pi_e,EX_pi_e,pi_e <=> ,,,,,MNXR102871,"['rxn09121', 'rxn09722', 'rxn10838', 'rxn13178']"
38,EX_gsn_e,EX_gsn_e,gsn_e --> ,,,,,MNXR100433,"['rxn08672', 'rxn10897']"
39,EX_phenol_e,EX_phenol_e,phenol_e --> ,,,,,MNXR102627,
40,EX_tsul_e,EX_tsul_e,tsul_e --> ,,,,,MNXR104966,rxn09330
41,EX_cobalt2_e,EX_cobalt2_e,cobalt2_e <=> ,,,,,MNXR96821,"['rxn08241', 'rxn08242', 'rxn10474']"
42,EX_tartr_e,EX_tartr_e,tartr_e --> ,,,,,,
43,EX_maltpt_e,EX_maltpt_e,maltpt_e --> ,,,,,MNXR101356,rxn08873
44,EX_cys__L_e,EX_cys__L_e,cys__L_e --> ,,,,,MNXR97029,"['rxn08284', 'rxn08286', 'rxn10998']"
45,EX_pyr_e,EX_pyr_e,pyr_e --> ,,,,,MNXR103384,"['rxn09218', 'rxn10929']"
46,EX_du_e,EX_du_e,duri_e --> ,,,,,,
47,EX_icit_e,EX_icit_e,icit_e --> ,,,,,MNXR100788,rxn12803
48,EX_gn_e,EX_gn_e,gua_e --> ,,,,,,
49,EX_naga_e,EX_naga_e,acgam_e --> ,,,,,,
50,EX_sprmd_e,EX_sprmd_e,spmd_e --> ,,,,,,
51,EX_ct_e,EX_ct_e,csn_e --> ,,,,,,
52,EX_cl_e,EX_cl_e,cl_e <=> ,,,,,MNXR96797,"['rxn08234', 'rxn10473']"
53,EX_adip_e,EX_adip_e,adip_e --> ,,,,,,
54,EX_urocan_e,EX_urocan_e,urocan_e --> ,,,,,,
55,EX_mlt_e,EX_mlt_e,mlt_e --> ,,,,,,
56,EX_gam_e,EX_gam_e,gam_e --> ,,,,,MNXR100035,rxn08593
57,EX_k_e,EX_k_e,k_e <=> ,,,,,MNXR100950,"['rxn05206', 'rxn08771']"
58,EX_mclact_e,EX_mclact_e,mclact_e --> ,,,,,,
59,EX_pbhb_e,EX_pbhb_e,phb_e --> ,,,,,,
60,EX_galt_e,EX_galt_e,galt_e --> ,,,,,MNXR100019,rxn08587
61,EX_asp__L_e,EX_asp__L_e,asp__L_e --> ,,,,,MNXR96107,"['rxn08170', 'rxn10906', 'rxn13232']"
62,EX_mlthx_e,EX_mlthx_e,malth_e --> ,,,,,,
63,EX_dg_e,EX_dg_e,dgsn_e --> ,,,,,,
64,EX_cbl1_e,EX_cbl1_e,cbl1_e --> ,,,,,MNXR123114,
65,EX_met__L_e,EX_met__L_e,met__L_e --> ,,,,,MNXR101493,"['rxn08920', 'rxn10976']"
66,EX_fe3_e,EX_fe3_e,fe3_e <=> ,,,,,MNXR99522,"['rxn05292', 'rxn08492']"
67,EX_cynt_e,EX_cynt_e,cynt_e --> ,,,,,MNXR96963,rxn08279
68,EX_uri_e,EX_uri_e,uri_e --> ,,,,,MNXR105165,"['rxn09372', 'rxn10987']"
69,EX_succ_e,EX_succ_e,succ_e --> ,,,,,MNXR104619,"['rxn09271', 'rxn10952']"
70,EX_4hbt_e,EX_4hbt_e,4hbt_e --> ,,,,,,
71,EX_dgluc_e,EX_dgluc_e,glcur_e --> ,,,,,,
72,EX_sot_e,EX_sot_e,sbt__D_e --> ,,,,,,
73,EX_acal_e,EX_acal_e,acald_e --> ,,,,,,
74,EX_tre_e,EX_tre_e,tre_e --> ,,,,,MNXR104933,rxn09323
75,EX_gensa_e,EX_gensa_e,gensa_e --> ,,,,,,
76,EX_no2_e,EX_no2_e,no2_e --> ,,,,,MNXR101912,"['rxn08999', 'rxn10823']"
77,EX_urea_e,EX_urea_e,urea_e --> ,,,,,MNXR105156,"['rxn05667', 'rxn09368', 'rxn09369']"
78,EX_ad_e,EX_ad_e,ade_e --> ,,,,,MNXR95496,rxn10936
79,EX_meli_e,EX_meli_e,meli_e --> ,,,,,,
80,EX_ascb_e,EX_ascb_e,ascb__L_e --> ,,,,,,
81,EX_ura_e,EX_ura_e,ura_e --> ,,,,,MNXR105147,"['rxn09366', 'rxn10993']"
82,EX_asn__L_e,EX_asn__L_e,asn__L_e --> ,,,,,MNXR96069,"['rxn05220', 'rxn08162']"
83,EX_his__L_e,EX_his__L_e,his__L_e --> ,,,,,MNXR100649,"['rxn08721', 'rxn10932']"
84,EX_g6p_e,EX_g6p_e,g6p_e --> ,,,,,MNXR99915,"['rxn08570', 'rxn09644', 'rxn13641']"
85,EX_1boh_e,EX_1boh_e,1btol_e --> ,,,,,,
86,EX_ins_e,EX_ins_e,ins_e --> ,,,,,MNXR100849,rxn08754
87,EX_pppn_e,EX_pppn_e,pppn_e --> ,,,,,MNXR103136,rxn09183
88,EX_dala_e,EX_dala_e,ala__D_e --> ,,,,,,
89,EX_din_e,EX_din_e,din_e --> ,,,,,MNXR97466,rxn08344
90,EX_nadma_e,EX_nadma_e,acmana_e --> ,,,,,,
91,EX_butn_e,EX_butn_e,butn_e --> ,,,,,,
92,EX_mlttr_e,EX_mlttr_e,mlttr_e --> ,,,,,,
93,EX_12ppd__S_e,EX_12ppd__S_e,12ppd__S_e --> ,,,,,MNXR94684,
94,EX_obut_e,EX_obut_e,2obut_e --> ,,,,,,
95,EX_so4_e,EX_so4_e,so4_e <=> ,,,,,MNXR104469,"['rxn05238', 'rxn09261']"
96,EX_nac_e,EX_nac_e,nac_e --> ,,,,,MNXR101808,"['rxn05310', 'rxn08969', 'rxn08970']"
97,EX_ile__L_e,EX_ile__L_e,ile__L_e --> ,,,,,MNXR100824,"['rxn08747', 'rxn10933', 'rxn13323']"
98,EX_glyc3p_e,EX_glyc3p_e,glyc3p_e --> ,,,,,MNXR100308,"['rxn08643', 'rxn09749', 'rxn11234']"
99,EX_orn_e,EX_orn_e,orn_e --> ,,,,,MNXR102223,"['rxn09048', 'rxn10824']"
100,EX_tolen_e,EX_tolen_e,tol_e --> ,,,,,,
101,EX_arg__L_e,EX_arg__L_e,arg__L_e --> ,,,,,MNXR95951,"['rxn08155', 'rxn10840']"
102,EX_3hpppn_e,EX_3hpppn_e,3hpppn_e --> ,,,,,MNXR100697,rxn08726
103,EX_naneu_e,EX_naneu_e,acnam_e --> ,,,,,,
104,EX_aso3_e,EX_aso3_e,aso3_e --> ,,,,,MNXR96073,"['rxn05507', 'rxn08164']"
105,EX_thr__L_e,EX_thr__L_e,thr__L_e --> ,,,,,MNXR104852,"['rxn09307', 'rxn10898', 'rxn13117']"
106,EX_fru_e,EX_fru_e,fru_e <=> ,,,,,MNXR99663,"['rxn08537', 'rxn12996']"
107,EX_fuc_e,EX_fuc_e,fuc__L_e --> ,,,,,,
108,EX_rib_e,EX_rib_e,rib__D_e --> ,,,,,,
109,EX_gl_e,EX_gl_e,glyc_e --> ,,,,,,
110,EX_ccmuc_e,EX_ccmuc_e,ccmuc_e --> ,,,,,,
111,EX_aobzac_e,EX_aobzac_e,aobzac_e --> ,,,,,,
112,EX_dgal_e,EX_dgal_e,galct__D_e --> ,,,,,,
113,EX_3pg_e,EX_3pg_e,3pg_e --> ,,,,,MNXR94974,
114,EX_nmn_e,EX_nmn_e,nmn_e --> ,,,,,MNXR101972,"['rxn08995', 'rxn08997', 'rxn10181']"
115,EX_gaba_e,EX_gaba_e,4abut_e --> ,,,,,,
116,EX_pro__L_e,EX_pro__L_e,pro__L_e --> ,,,,,MNXR103213,"['rxn09193', 'rxn09720', 'rxn10945', 'rxn11339']"
117,EX_larabinose_e,EX_larabinose_e,arab__L_e --> ,,,,,,
118,EX_formate_e,EX_formate_e,for_e --> ,,,,,,
119,EX_c160_e,EX_c160_e,c160_e --> ,,,,,,
120,EX_4hpheac_e,EX_4hpheac_e,4hphac_e --> ,,,,,,
121,EX_mltttr_e,EX_mltttr_e,M02451_e --> ,,,,,,
122,EX_pac_e,EX_pac_e,pac_e --> ,,,,,MNXR102320,"['rxn11336', 'rxn12774']"
123,EX_fuc1p_e,EX_fuc1p_e,fuc1p__L_e --> ,,,,,,
124,EX_nh4_e,EX_nh4_e,nh4_e <=> ,,,,,MNXR101950,"['rxn05466', 'rxn08986', 'rxn08987', 'rxn09736', 'rxn09835', 'rxn13364']"
125,EX_r3hbn_e,EX_r3hbn_e,bhb_e --> ,,,,,,
126,EX_an_e,EX_an_e,anth_e --> ,,,,,,
127,EX_man6p_e,EX_man6p_e,man6p_e --> ,,,,,MNXR101385,"['rxn08880', 'rxn13644']"
128,EX_mnt_e,EX_mnt_e,mnl_e --> ,,,,,,
129,EX_glx_e,EX_glx_e,glx_e --> ,,,,,MNXR100306,"['rxn09839', 'rxn13305']"
130,EX_4flthr_e,EX_4flthr_e,4flthr_e --> ,,,,,,
131,EX_6chq_e,EX_6chq_e,6chq_e --> ,,,,,,
132,EX_co2_e,EX_co2_e,co2_e --> ,,,,,MNXR96810,"['rxn05467', 'rxn08237', 'rxn08238', 'rxn09706', 'rxn09775', 'rxn09821', 'rxn09860', 'rxn09876']"
133,EX_acon__C_e,EX_acon__C_e,acon_e --> ,,,,,,
134,EX_lys__L_e,EX_lys__L_e,lys__L_e --> ,,,,,MNXR101269,"['rxn08856', 'rxn10834']"
135,EX_na_e,EX_na_e,na1_e <=> ,,,,,,
136,EX_knt_e,EX_knt_e,knt_e --> ,,,,,,
137,EX_4flrbz_e,EX_4flrbz_e,4flrbz_e --> ,,,,,,
138,EX_ppa_e,EX_ppa_e,ppa_e --> ,,,,,MNXR103094,
139,EX_bp23d_e,EX_bp23d_e,bp23d_e --> ,,,,,,
140,EX_pnto_e,EX_pnto_e,pnto__R_e --> ,,,,,,
141,EX_ptrc_e,EX_ptrc_e,ptrc_e --> ,,,,,MNXR103339,"['rxn09216', 'rxn13393']"
142,EX_o2_e,EX_o2_e,o2_e <=> ,,,,,MNXR102090,"['rxn05468', 'rxn09031', 'rxn09032', 'rxn09641', 'rxn09734']"
143,EX_gluc_e,EX_gluc_e,glcn_e --> ,,,,,,
144,EX_man_e,EX_man_e,man_e --> ,,,,,MNXR101402,"['rxn08886', 'rxn12997']"
145,EX_mal_e,EX_mal_e,mal__L_e --> ,,,,,,
146,EX_taur_e,EX_taur_e,taur_e --> ,,,,,MNXR104733,"['rxn09286', 'rxn13402']"
147,EX_26dap__M_e,EX_26dap__M_e,26dap__M_e --> ,,,,,MNXR94741,rxn07931
148,EX_leu__L_e,EX_leu__L_e,leu__L_e --> ,,,,,MNXR101057,"['rxn08786', 'rxn11003']"
149,EX_kdg_e,EX_kdg_e,2ddglcn_e --> ,,,,,,
150,EX_trp__L_e,EX_trp__L_e,trp__L_e --> ,,,,,MNXR104949,"['rxn05222', 'rxn09327']"
151,EX_lac__D_e,EX_lac__D_e,lac__D_e --> ,,,,,MNXR97840,rxn08351
152,EX_choline_e,EX_choline_e,choline_e --> ,,,,,,
153,EX_ser__L_e,EX_ser__L_e,ser__L_e --> ,,,,,MNXR104354,"['rxn09248', 'rxn10999', 'rxn13110']"
154,EX_xan_e,EX_xan_e,xan_e --> ,,,,,MNXR105226,"['rxn09378', 'rxn09379', 'rxn09652']"
155,EX_glyn_e,EX_glyn_e,glyn_e --> ,,,,,,
156,EX_34dhb_e,EX_34dhb_e,34dhbz_e --> ,,,,,,
157,EX_t3_e,EX_t3_e,glyald_e --> ,,,,,,
158,EX_lactose_e,EX_lactose_e,lactose_e --> ,,,,,,
159,EX_c181_e,EX_c181_e,c181_e --> ,,,,,,
160,EX_kn_e,EX_kn_e,kn_e --> ,,,,,,
161,EX_eth_e,EX_eth_e,etoh_e --> ,,,,,,
162,EX_glyb_e,EX_glyb_e,glyb_e --> ,,,,,MNXR100317,"['rxn08639', 'rxn12430']"
163,EX_indole_e,EX_indole_e,indole_e --> ,,,,,MNXR100836,rxn08751
164,EX_dser_e,EX_dser_e,ser__D_e --> ,,,,,,
165,EX_tyr__L_e,EX_tyr__L_e,tyr__L_e --> ,,,,,MNXR105002,"['rxn09339', 'rxn10974']"
166,EX_no3_e,EX_no3_e,no3_e --> ,,,,,MNXR101992,"['rxn09005', 'rxn10935']"
167,EX_mobd_e,EX_mobd_e,mobd_e <=> ,,,,,MNXR101690,rxn08956
168,EX_bzald_e,EX_bzald_e,bzal_e --> ,,,,,,
169,EX_4cresol_e,EX_4cresol_e,cresol_e --> ,,,,,,
170,EX_h2o_e,EX_h2o_e,h2o_e <=> ,,,,,MNXR98641,"['rxn05319', 'rxn08686', 'rxn08687', 'rxn09643', 'rxn09745', 'rxn09812', 'rxn09838', 'rxn09874']"
171,EX_hyxn_e,EX_hyxn_e,hxan_e --> ,,,,,,
172,EX_alltn_e,EX_alltn_e,alltn_e --> ,,,,,MNXR95771,"['rxn08117', 'rxn09698']"
173,EX_h_e,EX_h_e,h_e <=> ,,,,,MNXR100765,"['rxn08730', 'rxn11009']"
174,EX_4hb_e,EX_4hb_e,4hbz_e --> ,,,,,,
175,EX_xtsine_e,EX_xtsine_e,xtsn_e --> ,,,,,,
176,UNSMONO,Unspecific monooxygenase,h2o_c + parat_c --> h2s_c + h_c + parax_c,"H16_B0939, H16_B1009",,gamma-Hexachlorocyclohexane degradation,,,
177,ATPS4m,ATP synthase (four protons for one ATP),adp_c + 4.0 h_e + pi_c <=> atp_c + h2o_c + 3.0 h_c,"H16_A3641, H16_A3637, H16_A3639, H16_A3640, H16_A3643, H16_A3636, H16_A3642, H16_A3638",3.6.3.14,Oxidative Phosphorylation,,MNXR96136,"['rxn08173', 'rxn10042']"
178,OPHHX,2-Octaprenylphenol hydroxylase,2oph_c + h_c + nadph_c + o2_c --> 2ohph_c + h2o_c + nadp_c,H16_A0448,,Ubiquinone Biosynthesis,,MNXR102203,"['rxn09044', 'rxn12225']"
179,OCPPH1,2-Octaprenylphenol hydroxylase,2.0 2oph_c + o2_c --> 2.0 2ohph_c,H16_A0448,,Ubiquinone Biosynthesis,,,
180,DHFR,Dihydrofolate reductase,dhf_c + h_c + nadph_c <=> nadp_c + thf_c,"H16_A2704, H16_A1840",1.5.1.3,Folate Biosynthesis,R00939,MNXR97401,
181,OPHHX3,2-Octaprenylphenol hydroxylase (anaerobic),2oph_c + 2.0 atp_c + 3.0 h2o_c + nad_c --> 2ohph_c + 2.0 adp_c + 3.0 h_c + nadh_c + 2.0 pi_c,H16_A0448,,Ubiquinone Biosynthesis,,MNXR102204,rxn09045
182,DBTS,Dethiobiotin synthase,atp_c + co2_c + dann_c --> adp_c + dtbt_c + 3.0 h_c + pi_c,H16_A0182,6.3.3.3,Biotin Metabolism,R03182,MNXR97180,rxn02277
183,TARTRt7,Tartrate/succinate antiporter,succ_c + tartr_e <=> succ_e + tartr_c,,,Putative Transporters,,MNXR104723,"['rxn09283', 'rxn10137']"
184,ARBabc,L-arabinose transport via ABC system,arab__L_e + atp_c + h2o_c --> adp_c + arab__L_c + h_c + pi_c,H16_A0938,3.6.3.17,"Transport, Extracellular",,MNXR95935,
185,HACDH,Haloacetate dehalogenase,glycolate_c + h_c + hf_c <=> flac_c + h2o_c,,,Fluorobenzoate degradation,,,
186,PPPGO3,Protoporphyrinogen oxidase (anaerobic),3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c,"H16_A2891, H16_B2453",1.3.3.4,Porphyrin and Chlorophyll metabolism,,MNXR103130,rxn09180
187,DTMPK,DTMP kinase,atp_c + dtmp_c + h_c <=> adp_c + dtdp_c,H16_A1569,"['2.7.4.12', '2.7.4.13', '2.7.4.9']",Pyrimidine metabolism,R02094,MNXR97804,rxn01513
188,KDO8PS,2-dehydro-3-deoxyphosphooctonate aldolase (3-deoxy-D-manno-octulosonic-acid 8-phosphate synthase),ara5p_c + h2o_c + pep_c --> h_c + kdo8p_c + pi_c,H16_A1186,,Lipopolysaccharide Biosynthesis,,,
189,ADNK,Adenosine kinase,adn_c + atp_c --> adp_c + amp_c + h_c,,,Purine metabolism,,,
190,CSND,Cytosine deaminase,csn_c + h2o_c + h_c --> nh4_c + ura_c,H16_B1593,3.5.4.1,Pyrimidine metabolism,R00974,MNXR96927,rxn00717
191,KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,h2o_c + kdo8p_c --> kdo_c + pi_c,,3.1.3.45,Lipopolysaccharide Biosynthesis,,MNXR141191,
192,BAPT2,Beta-alanine-pyruvate transaminase,ala__L_c + mmtsa_c <=> 3aib_c + pyr_c,H16_A0272,,"Valine, Leucine and Isoleucine degradation",,,
193,COBALTt5,Cobalt (Co+2) transport via diffusion (extracellular to cytoplasm),cobalt2_c <=> cobalt2_e,,,"Transport, Extracellular",,MNXR96821,"['rxn08241', 'rxn08242', 'rxn10474']"
194,4HPHEAO,,4hphac_c + h_c + nadh_c + o2_c --> h2o_c + homogen_c + nad_c,,,"Transport, Extracellular",,,
195,4FLTHRt,4-Fluoro-L-threonine transport,4flthr_c + h_c --> 4flthr_e + h_e,,,"Transport, Extracellular",,,
196,CAT,Catalase,2.0 h2o2_c --> 2.0 h2o_c + o2_c,"H16_A2777, H16_A3109, H16_B1428","['1.11.1.21', '1.11.1.6']",Unassigned,R00009,MNXR96455,rxn00006
197,GLYALDt,Glyceraldehyde facilitated diffusion,glyald_e <=> glyald_c,,,"Transport, Extracellular",,MNXR100311,"['rxn08635', 'rxn08636', 'rxn10164']"
198,CCMUCt,"Cis,cis-Muconate transport",ccmuc_e + h_e <=> ccmuc_c + h_c,,,"Transport, Extracellular",,,
199,ADA,Adenosine deaminase,adn_c + h2o_c + h_c --> ins_c + nh4_c,"H16_B2033, H16_A1014",3.5.4.4,Purine metabolism,R01560,MNXR95432,rxn01137
200,TMDPP,Thymidine phosphorylase,pi_c + thymd_c <=> 2dr1p_c + thym_c,H16_A2012,"['2.4.2.2', '2.4.2.4']",Pyrimidine metabolism,R01570,MNXR104887,rxn01146
201,NNATr,Nicotinate-nucleotide adenylyltransferase,atp_c + nicrnt_c <=> dnad_c + h_c + ppi_c,H16_A0913,"['2.7.7.1', '2.7.7.18']",Nicotinate and Nicotinamide metabolism,R03005,MNXR101978,rxn02155
202,HIBHrm,3-hydroxyisobutyryl-CoA hydrolase,3hpcoa_c + adp_c + pi_c <=> 3hpp_c + atp_c + coa_c,"H16_A2978, H16_B0910, H16_A1230, H16_A0871, H16_B1148, H16_B1662, H16_B1335, H16_B1709, H16_B1264, H16_B0677, H16_A1519, H16_A1718, H16_A1700, H16_B2522, H16_A2794, H16_A0866, H16_A2807, H16_B0174, H16_A2252",,Propanoate metabolism,,,
203,3HBZt,3-Hydroxybenzoate transport,3hbz_e + h_e <=> 3hbz_c + h_c,,,"Transport, Extracellular",,,
204,UAMAGS,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,atp_c + glu__D_c + uama_c --> adp_c + h_c + pi_c + uamag_c,H16_A3275,6.3.2.9,Peptidoglycan Biosynthesis,R02783,MNXR105038,"['rxn02008', 'rxn11252']"
205,2HBAt,2-Hydroxybutanoic acid transport,2hba_e + h_e --> 2hba_c + h_c,,,"Transport, Extracellular",,,
206,4HPHEA2,4-hydroxyphenylacetate-3-hydroxylase,4hphac_c + h_c + nadh_c + o2_c --> 34dhpheac_c + h2o_c + nad_c,H16_B0496,,Tyrosine metabolism,,,
207,GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine),g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"H16_A2326, H16_A0499","['3.1.4.2', '3.1.4.46']",Glycerophospholipid Metabolism,R01470,MNXR100411,rxn01073
208,THRD_L,Threonine dehydratase,thr__L_c --> 2obut_c + nh4_c,"H16_A0427, H16_B0554",4.3.1.19,"Glycine, Serine and threonine Metabolism",R00996,MNXR104714,rxn00737
209,HBZOPT,Hydroxybenzoate octaprenyltransferase,4hbz_c + opp_c --> 3ophb_c + h_c + ppi_c,H16_A3107,2.5.1.39,Ubiquinone Biosynthesis,R05615,MNXR100566,rxn03893
210,4HPHEA1,4-hydroxyphenylacetate-3-hydroxylase,h_c + hpheac_c + nadh_c + o2_c --> 34dhpheac_c + h2o_c + nad_c,H16_B0496,,Tyrosine metabolism,,,
211,GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine),g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,"H16_A2326, H16_A0499",3.1.4.46,Glycerophospholipid Metabolism,,MNXR100412,rxn08668
212,HOMOGD,"Homogentisate 1,2-dioxygenase",homogen_c + o2_c --> 4maac_c + h_c,H16_B1671,,Tyrosine metabolism,,,
213,GLNTRS,Glutaminyl-tRNA synthetase,atp_c + gln__L_c + trnagln_c --> amp_c + glntrna_c + h_c + ppi_c,H16_A2784,6.1.1.18,Aminoacyl-tRNA Biosynthesis,R03652,MNXR100257,rxn06437
214,GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c,"H16_A2326, H16_A0499",3.1.4.46,Glycerophospholipid Metabolism,,MNXR100413,rxn08669
215,ACALD,Acetaldehyde dehydrogenase (acetylating),acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c,"H16_B0551, H16_A2747, H16_A1806, H16_B0596",1.2.1.10,Pyruvate Metabolism,R00228,MNXR95210,rxn00171
216,GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),g3pi_c + h2o_c --> glyc3p_c + h_c + mi_c,"H16_A2326, H16_A0499",3.1.4.44,Glycerophospholipid Metabolism,R01193,MNXR100414,rxn00889
217,MELIBt2,Melibiose transport in via symport,h_e + meli_e --> h_c + meli_c,,,"Transport, Extracellular",,MNXR138587,
218,2H4HMBZP,2-hydroxy-4-hydroxymethylbenzal pyruvate hydratasealdolase,2h4hmbnpyr_c + h2o_c --> 4hmscald_c + pyr_c,"H16_A1289, H16_A2151, H16_A3307, H16_A1070, H16_A1069, H16_B0706, H16_B0359",,1- and 2-Methylnaphthalene degradation,,,
219,GPDDA1,Glycerophosphodiester phosphodiesterase (Glycerophosphocholine),g3pc_c + h2o_c --> choline_c + glyc3p_c + h_c,"H16_A2326, H16_A0499","['3.1.4.2', '3.1.4.46']",Glycerophospholipid Metabolism,R01030,MNXR100410,rxn00758
220,HISTD,Histidinol dehydrogenase,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,"H16_A3416, H16_A1694",1.1.1.23,Histidine Metabolism,R01158,MNXR100587,rxn00859
221,G1PCYTF,Glucose-1-phosphate cytidylyltransferase,ctp_c + g1p_c <=> cdpglc_c + ppi_c,H16_A2893,,Starch and sucrose metabolism,,,
222,CYTBD,Cytochrome oxidase bd (ubiquinol-8: 2 protons),2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,"H16_A1072, H16_B1025, H16_A1640, H16_A1643, H16_A1073, H16_B1177, H16_A1642, H16_B1462, H16_B1461, H16_A1071, H16_B1027, H16_B1026, H16_A1074, H16_B1176, H16_A1641, H16_B1028",,Oxidative Phosphorylation,,MNXR97031,"['rxn08288', 'rxn10112', 'rxn12494']"
223,OCTDPS,Octaprenyl pyrophosphate synthase,frdp_c + 5.0 ipdp_c --> 5.0 h_c + opp_c + 5.0 ppi_c,,2.5.1.90,Biosynthesis of steroids,R09248,MNXR102153,rxn09037
224,INDOLEt2r,"Indole transport via proton symport, reversible",h_e + indole_e <=> h_c + indole_c,,,"Transport, Extracellular",,MNXR100835,"['rxn08750', 'rxn10176']"
225,NMNAT,Nicotinamide-nucleotide adenylyltransferase,atp_c + nmn_c --> nad_c + ppi_c,H16_A0913,"['2.7.7.1', '2.7.7.18']",Nicotinate and Nicotinamide metabolism,R00137,MNXR95841,rxn00105
226,XTSNtr,Xanthosine transport via proton symport,h_e + xtsn_e <=> h_c + xtsn_c,,,"Transport, Extracellular",,,
227,IMPC,IMP cyclohydrolase,h2o_c + imp_c <=> fprica_c,H16_A0501,"['2.1.2.3', '3.5.4.10']",Purine metabolism,R01127,MNXR100783,rxn00832
