locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
PHG003,0.25,2.5933967046812017e-5,27.581,9.402837840111678e-7
H16_B0046,0.25,1.1553956331560703e-4,16.578,6.969451279744663e-6
H16_A3141,0.25,8.508640645115902e-4,27.404,3.1048900325193045e-5
H16_A2066,0.25,7.933374299348227e-4,29.538,2.6858197235250277e-5
H16_A2069,0.25,2.026015462533885e-4,41.357,4.8988453285632054e-6
H16_A0227,0.25,3.105155722646549e-5,31.081,9.99052708293346e-7
H16_A2931,0.25,4.902933049398718e-5,21.272,2.304876386516885e-6
H16_A0299,0.25,2.568965627006377e-5,45.939,5.592123526864705e-7
H16_A3633,0.25,4.3117872492712153e-4,39.663,1.087105677652022e-5
H16_A3271,0.25,5.981472843615282e-4,34.924,1.7127112712218767e-5
H16_A1557,0.25,4.7453593113581206e-5,34.27,1.3846977856311996e-6
H16_B1960,0.25,8.59740366989817e-5,54.882,1.566525212255051e-6
H16_A2323,0.25,0.0013718638080473873,50.267,2.7291539340867513e-5
H16_A0001,0.25,9.482918437182893e-5,64.647,1.4668767981782437e-6
H16_A3088,0.25,2.4102628773680815e-4,41.349,5.82907174869545e-6
H16_A3089,0.25,0.0021746196056548484,69.907,3.110732266661205e-5
H16_A2060,0.25,3.6989681991951066e-5,76.256,4.850724138684309e-7
H16_A2110,0.25,8.832115661675854e-7,17.437,5.065157803335352e-8
H16_A0491,0.25,4.9689722294201675e-5,16.242,3.059335198510139e-6
H16_A1443,0.25,3.391534105860265e-7,34.78,9.751391908741418e-9
H16_A2049,0.25,2.7108445173590725e-4,41.485,6.5345173372521934e-6
H16_A2732,0.25,3.955210838782823e-4,68.683,5.758646009613474e-6
H16_A2549,0.25,0.0013357359352127224,20.984,6.365497213175382e-5
H16_A2054,0.25,0.0027707126363674547,30.94,8.95511517895105e-5
H16_A3491,0.25,0.02645096229666659,43.046,6.14481305967258e-4
H16_A3452,0.25,1.8942917805558703e-4,25.752,7.35590160203429e-6
H16_A1188,0.25,0.004910234428409277,45.846,1.0710278821291447e-4
H16_A0485,0.25,5.007670041123556e-5,13.138,3.8115923589005604e-6
H16_A0999,0.25,9.116304360695215e-5,37.505,2.4306904041315067e-6
H16_B1390,0.25,1.7630569672348392e-4,39.607,4.451377199067941e-6
PHG422,0.25,1.706838608107758e-4,39.777,4.291018950920779e-6
H16_A2569,0.25,3.700355337695257e-4,34.609,1.0691887479254694e-5
H16_A2044,0.25,5.970098033548325e-5,17.027,3.506253616930948e-6
H16_A0643,0.25,3.7236057390242793e-6,30.661,1.2144436707949118e-7
H16_B1455,0.25,1.5874363060979593e-5,30.207,5.255193518383021e-7
H16_A1199,0.25,1.8937176382826022e-4,38.628,4.902448064312421e-6
H16_A2592,0.25,0.0015949574962301342,40.324,3.955355362141986e-5
H16_A2344,0.25,4.350474735778536e-5,10.297,4.224992459724712e-6
H16_B0919,0.25,5.343099200427597e-6,22.489,2.3758722933112175e-7
H16_B0235,0.25,9.419201978779397e-6,11.827,7.964151499771199e-7
H16_A1370,0.25,2.487009254611261e-4,29.863,8.32806233335988e-6
H16_A0377,0.25,2.9115131700938166e-6,31.923,9.120424678425639e-8
H16_B1386,0.25,2.640606724058833e-4,35.94,7.347264118138099e-6
PHG418,0.25,2.8868114116668413e-4,35.898,8.041705419986745e-6
H16_A0111,0.25,1.638829125035271e-4,53.541,3.060886283474853e-6
H16_A0108,0.25,6.899490891635068e-4,52.613,1.3113661816727934e-5
H16_A0112,0.25,7.991139383088437e-6,11.031,7.244256534392563e-7
H16_A2731,0.25,2.7663780384307504e-4,29.944,9.238505338066894e-6
H16_A3627,0.25,2.526836349897992e-4,41.722,6.0563643878481195e-6
H16_A3619,0.25,4.483944035278268e-4,40.103,1.1181068835943115e-5
H16_A2445,0.25,2.762577731682313e-4,47.65,5.797644767434025e-6
H16_A0262,0.25,1.8821656638319558e-4,48.358,3.89214951782943e-6
H16_A2834,0.25,0.0024258115498979054,45.112,5.377308808959712e-5
H16_A0336,0.25,5.584132410573205e-4,34.688,1.6098167696532534e-5
H16_B1387,0.25,1.5636198344019475e-4,23.77,6.578122988649338e-6
PHG419,0.25,1.1527941271470141e-4,23.603,4.88410001756986e-6
H16_A0332,0.25,6.085298297900562e-4,27.865,2.1838500979366813e-5
H16_A0734,0.25,4.2855483664676385e-4,45.452,9.428734415356065e-6
H16_A2028,0.25,6.26869654393066e-4,59.685,1.0502968156036962e-5
H16_A2251,0.25,7.840674214357218e-5,74.286,1.055471315504566e-6
H16_A3339,0.25,5.381135514413063e-5,47.474,1.1334910718315421e-6
H16_A1134,0.25,8.611908568352972e-6,41.324,2.0839968464700832e-7
H16_A3615,0.25,1.9523672443257933e-4,54.499,3.5823909508904626e-6
H16_A2359,0.25,2.1830813087014428e-5,8.798,2.481338154923213e-6
H16_B1671,0.25,3.614319450663589e-5,48.708,7.420381560859795e-7
H16_A3417,0.25,3.7460037106648683e-4,23.949,1.5641587167167184e-5
H16_A3408,0.25,8.90850643151564e-5,13.235,6.731021104280801e-6
H16_A3409,0.25,3.465585483409191e-5,15.507,2.2348523140576457e-6
H16_A3411,0.25,4.576479772943483e-4,26.331,1.7380577163584683e-5
H16_A3410,0.25,1.6813911485474451e-4,27.08,6.208977653424834e-6
H16_A3414,0.25,1.8048429260711187e-4,21.501,8.394227831594432e-6
H16_A2355,0.25,5.448897091761331e-4,41.648,1.30832143002337e-5
H16_A0804,0.25,3.4654942571165823e-4,37.428,9.259095482303576e-6
PHG200,0.25,0.0025889663811044274,44.782,5.7812656449118555e-5
H16_A1807,0.25,1.0532130050241453e-5,37.818,2.7849516236293444e-7
H16_B0552,0.25,1.0227180786523574e-7,37.957,2.6944123051146227e-9
H16_B0595,0.25,2.5635727014998822e-5,36.732,6.979126378906355e-7
PHG019,0.25,1.0507220087183044e-4,53.587,1.9607778168554024e-6
PHG088,0.25,4.1735622912564177e-4,66.784,6.249344590405513e-6
PHG091,0.25,2.831824685997721e-4,54.863,5.161629305721015e-6
PHG006,0.25,5.7632787059630583e-5,11.641,4.950845035618124e-6
PHG005,0.25,5.7327331791997434e-6,22.254,2.5760461845959124e-7
PHG007,0.25,1.4663162333475205e-4,17.719,8.27538931851414e-6
PHG008,0.25,5.082680223543265e-5,30.994,1.6398916640457072e-6
PHG089,0.25,5.876170684107695e-5,26.173,2.2451269186213634e-6
PHG011,0.25,1.8592837397725132e-4,41.539,4.475995425437572e-6
PHG090,0.25,8.9795976420739e-5,22.881,3.924477794709104e-6
H16_A0386,0.25,4.0225097391874084e-4,13.645,2.947973425567906e-5
H16_A0383,0.25,3.7339652720597396e-5,35.691,1.0461923936173655e-6
H16_A1163,0.25,1.7503406637852113e-4,66.712,2.623726861412057e-6
H16_A0200,0.25,3.853312381594573e-4,49.449,7.792498092164803e-6
H16_A0199,0.25,1.3405103581081034e-5,19.037,7.041605074896798e-7
H16_A2654,0.25,8.08952306490468e-4,71.101,1.13775095496613e-5
H16_A3015,0.25,5.912289089850605e-6,44.135,1.3395919541974861e-7
PHG012,0.25,1.1487095252239434e-5,12.858,8.933811830953051e-7
PHG013,0.25,3.0701374414084646e-4,38.483,7.977905676294636e-6
PHG015,0.25,4.642766454696121e-6,9.79,4.7423559292095207e-7
PHG016,0.25,1.7543930870573797e-4,41.907,4.18639627522223e-6
PHG017,0.25,1.6854906750320844e-4,36.596,4.605669130593738e-6
PHG014,0.25,1.0749677776269468e-4,40.677,2.642691883931821e-6
PHG096,0.25,2.241702646901101e-6,86.438,2.593422623037438e-8
H16_A2433,0.25,2.3818058663926473e-4,8.394,2.8375099671106114e-5
H16_A3463,0.25,2.60727318485749e-5,8.225,3.1699370028662493e-6
H16_B1924,0.25,4.777702773848918e-5,8.472,5.639403651851886e-6
H16_A2306,0.25,0.0015301537498157573,103.71,1.4754158227902395e-5
H16_A1037,0.25,0.0030523376117834707,36.479,8.367382910122181e-5
H16_A0374,0.25,1.2692079890819867e-4,31.508,4.028208674247767e-6
H16_A1457,0.25,7.3864513815995656e-6,17.836,4.141316091948624e-7
H16_A0603,0.25,3.735051688053947e-4,24.202,1.5432822444648983e-5
H16_A2777,0.25,7.385628548569125e-5,81.975,9.009610916217291e-7
H16_A0797,0.25,1.519682627964353e-4,23.969,6.34020037533628e-6
H16_A1186,0.25,5.091055205188801e-4,30.987,1.642964857904541e-5
H16_A0604,0.25,6.405536361091518e-5,28.385,2.2566624488608486e-6
H16_A2744,0.25,1.1602659237686143e-4,37.543,3.090498691549994e-6
PHG421,0.25,0.00030261874511906004,33.161,9.125742441996926e-6
H16_B1389,0.25,3.0000578193102345e-4,33.316,9.004855983041886e-6
H16_A1569,0.25,5.390480075755278e-5,22.879,2.3560820297020316e-6
H16_B2355,0.25,1.9979167514895894e-8,37.947,5.265018977757371e-10
H16_A1419,0.25,5.339394718532809e-5,69.085,7.728732313140058e-7
PHG116,0.25,1.3054394294286404e-6,68.83,1.8966140192192945e-8
H16_A2814,0.25,4.565161922889631e-7,23.229,1.9652856011406564e-8
H16_A0666,0.25,2.7983471321373375e-4,36.756,7.613307030518385e-6
H16_A2558,0.25,2.2714886896476886e-4,65.911,3.4462968087992724e-6
H16_A1041,0.25,5.753485044917497e-4,55.788,1.0313122974326912e-5
H16_A2281,0.25,3.989565401846018e-5,23.635,1.6879904386909322e-6
H16_A1403,0.25,7.832184514307155e-7,27.503,2.847756431773681e-8
H16_A2985,0.25,2.624282773412123e-6,30.34,8.649580663850109e-8
H16_A0123,0.25,7.510906872694253e-5,37.024,2.0286589435755872e-6
H16_A0122,0.25,4.0277368534881344e-5,28.367,1.4198670474453182e-6
H16_A0755,0.25,2.270394144422253e-4,22.977,9.881160048841246e-6
H16_A0375,0.25,1.91949232611474e-6,21.427,8.958287796307182e-8
H16_A0511,0.25,3.588180265401832e-5,90.866,3.948870056348725e-7
H16_A2043,0.25,3.296886942935815e-4,28.288,1.1654719113885093e-5
H16_A3266,0.25,8.659725310436497e-5,33.363,2.595607502453765e-6
H16_A2045,0.25,8.357113415219015e-5,37.925,2.2035895623517508e-6
H16_A0606,0.25,1.7553965414924743e-5,40.172,4.369701636693404e-7
H16_A1562,0.25,5.1213883811120845e-5,30.439,1.6825087490101793e-6
PHG002,0.25,9.96543825477457e-5,68.795,1.4485701366050685e-6
PHG001,0.25,1.8755823943550446e-4,39.472,4.751678137299971e-6
H16_A2634,0.25,0.0039116498637433465,35.102,1.1143666639346323e-4
H16_B1581,0.25,0.02474749239146578,88.039,2.810969274011038e-4
H16_A0230,0.25,0.0019363878119089083,42.088,4.6008073843112246e-5
H16_A0811,0.25,2.1330324490791516e-4,37.097,5.749878559126484e-6
H16_A0211,0.25,1.7869331208287045e-5,43.007,4.1549820281086906e-7
H16_A3070,0.25,9.828652193952979e-6,35.207,2.791675574162234e-7
H16_A0528,0.25,3.05396971121505e-4,50.301,6.071389656696785e-6
H16_A0086,0.25,2.260353771380661e-4,28.822,7.842459827148225e-6
H16_A0084,0.25,4.6221981005558363e-4,9.452,4.890179962500885e-5
H16_A2509,0.25,6.44073132628657e-5,13.197,4.880451107286937e-6
H16_A3126,0.25,3.942936931208549e-5,39.395,1.0008724282798702e-6
H16_A1481,0.25,3.783667222776471e-5,69.737,5.425623733135166e-7
H16_A0103,0.25,2.5083662701692866e-4,51.016,4.9168227030133424e-6
H16_A3648,0.25,1.621634333614443e-4,71.5,2.268020047013207e-6
H16_A0554,0.25,5.074704573108224e-5,16.635,3.0506189198125784e-6
H16_A2582,0.25,8.503973293853625e-5,21.196,4.012065150902824e-6
H16_A3399,0.25,1.0856955152956586e-4,15.246,7.121182705599229e-6
H16_A3418,0.25,4.928196720808091e-4,44.346,1.1113058045388742e-5
H16_A3272,0.25,4.3043099152528824e-4,50.425,8.53606329251935e-6
H16_A3273,0.25,0.0015861396974990926,37.814,4.1945832165311593e-5
H16_A1210,0.25,7.16990332156545e-5,97.586,7.347266330790739e-7
PHG211,0.25,8.226066906243874e-5,93.346,8.812447138863877e-7
PHG212,0.25,1.4525458747624502e-6,18.924,7.675681012272512e-8
H16_A2368,0.25,0.001968991335523516,15.336,1.2839014968202373e-4
H16_B2325,0.25,8.760802934312875e-7,56.494,1.550749271482436e-8
PHG252,0.25,2.526705695607285e-4,70.085,3.6052018200860167e-6
H16_A2835,0.25,7.32592733355325e-5,17.972,4.0763005417055695e-6
H16_A1051,0.25,2.650178043509374e-4,17.635,1.5027944675414654e-5
H16_A1052,0.25,2.4270081127773354e-4,22.874,1.0610335371064683e-5
H16_A1053,0.25,2.6049991864095695e-4,47.828,5.4465986167298855e-6
H16_A1057,0.25,1.0397149235733758e-5,39.477,2.633723240300367e-7
H16_A1058,0.25,4.806777718803278e-5,18.497,2.5986796338883486e-6
H16_A2856,0.25,2.3388701225670455e-4,18.797,1.2442784074943053e-5
H16_A3250,0.25,4.6085677786109974e-4,39.779,1.1585428941428888e-5
H16_A2325,0.25,9.213892241091827e-4,105.996,8.692679196471401e-6
H16_A2324,0.25,6.651727793791462e-4,43.25,1.5379717442292396e-5
H16_A1374,0.25,0.0012777916000947026,100.365,1.2731446222235864e-5
H16_A1375,0.25,0.0025813245554387287,56.582,4.562094933792953e-5
H16_A1560,0.25,2.3125400500692565e-6,23.584,9.805546345273306e-8
H16_A1558,0.25,5.902528165986276e-5,28.312,2.0848149780963113e-6
H16_A1561,0.25,5.921926208191936e-5,44.532,1.329813663925253e-6
H16_A3084,0.25,1.571315431369325e-4,28.678,5.479166717934741e-6
H16_A2959,0.25,3.12857595347135e-4,31.973,9.785055995594253e-6
H16_A3129,0.25,8.474392684966052e-5,13.507,6.2740746908758804e-6
H16_A0129,0.25,2.8149725595781553e-6,22.781,1.2356668098758418e-7
H16_B0319,0.25,7.378217035727487e-5,35.491,2.078898040553235e-6
H16_A2802,0.25,5.374329321890738e-4,24.081,2.231771654786237e-5
H16_A2552,0.25,6.13400625617562e-4,27.808,2.205842295805387e-5
H16_B1385,0.25,3.089268980725301e-4,42.284,7.305999859817664e-6
PHG417,0.25,2.037193920985679e-4,42.299,4.816175136494194e-6
H16_A1439,0.25,0.0015461101037416458,26.37,5.8631403251484486e-5
H16_A1437,0.25,4.3877870028204984e-5,64.317,6.822126347342847e-7
H16_B0293,0.25,1.8822338975798806e-5,29.873,6.300786320690526e-7
H16_B1953,0.25,1.8042578483484806e-5,40.913,4.4099866750140065e-7
H16_A1622,0.25,5.829116660528573e-6,27.645,2.108560918983025e-7
H16_A2375,0.25,3.670719366715326e-5,32.108,1.1432413625001016e-6
H16_A2570,0.25,5.461916672625117e-5,38.257,1.4276907945278296e-6
H16_A0588,0.25,5.635596998204244e-6,21.263,2.65042421022633e-7
H16_A2589,0.25,9.352602324511864e-5,45.18,2.0700757690375972e-6
H16_A1045,0.25,0.0029009923460388606,77.729,3.732187917043652e-5
H16_A3062,0.25,7.048560130808594e-5,11.486,6.136653430966911e-6
H16_B1052,0.25,1.0984326442458038e-5,32.588,3.3706660250577014e-7
H16_A3173,0.25,1.4525595888902973e-4,32.38,4.4859777297414985e-6
H16_A3136,0.25,3.985154822118392e-4,45.546,8.749736139547693e-6
H16_A3249,0.25,2.0570116465407976e-4,39.463,5.212507023137616e-6
H16_A1038,0.25,2.0159175422743105e-5,23.978,8.407363175720705e-7
H16_A2039,0.25,5.186705207766313e-4,30.305,1.7115014709672707e-5
H16_A0326,0.25,1.323877793060977e-4,64.3,2.0589079207791244e-6
H16_A0370,0.25,2.6846623469784972e-5,21.548,1.245898620279607e-6
H16_A0325,0.25,7.772126700409117e-6,9.476,8.201906606594679e-7
H16_A3077,0.25,0.0014147823961490598,37.258,3.797258028206183e-5
H16_A0569,0.25,2.2359637443760658e-4,33.396,6.6953040614925915e-6
H16_A0501,0.25,9.868500792518872e-4,55.987,1.7626414690051036e-5
H16_A1892,0.25,5.191737380411549e-4,42.8,1.213022752432605e-5
H16_A0126,0.25,3.2436737901719734e-5,26.65,1.2171383828037424e-6
H16_A2913,0.25,5.957211311251548e-4,35.368,1.684350630867323e-5
H16_A0479,0.25,2.5219610921313446e-4,37.534,6.719137560961647e-6
H16_A1401,0.25,1.1095509560114516e-4,36.644,3.0279198668580165e-6
H16_A0224,0.25,3.1022344757466905e-4,23.826,1.3020374698844498e-5
H16_A3157,0.25,3.5632622008640935e-4,29.642,1.2020991164105301e-5
H16_A1185,0.25,8.621731991330098e-4,60.794,1.4181879776507712e-5
H16_A2053,0.25,6.81707879639335e-4,25.272,2.6974829045557732e-5
H16_B2579,0.25,0.0011564348131170652,10.681,1.0827027554695864e-4
H16_B2578,0.25,3.636641972965798e-6,48.066,7.565934284038192e-8
H16_B2577,0.25,NaN,18.725,0
H16_B2574,0.25,1.1956631830043494e-5,13.578,8.805885866875456e-7
H16_B2570,0.25,1.4103627524672908e-5,77.942,1.8095029027575516e-7
H16_B2569,0.25,1.1246519649590558e-6,44.973,2.5007270250129094e-8
H16_B2567,0.25,8.128600719689248e-5,65.837,1.2346553943358975e-6
H16_B2566,0.25,2.0767899932494052e-4,54.347,3.821351672124322e-6
H16_B2565,0.25,6.623363062730209e-5,24.014,2.7581257028109474e-6
H16_B2564,0.25,4.4093537848669186e-5,34.74,1.2692440370946801e-6
H16_B2563,0.25,1.3788725310670774e-5,25.624,5.381175972007015e-7
H16_B2562,0.25,4.399399360784853e-6,47.223,9.31622167330507e-8
H16_B2561,0.25,4.8881127533321396e-5,32.432,1.5071881947866735e-6
H16_B2559,0.25,8.655899269503016e-6,16.554,5.228886836718023e-7
H16_B2557,0.25,1.9902688177290497e-5,60.819,3.272445810896348e-7
H16_B2555,0.25,1.0327900276989529e-4,41.575,2.4841612211640475e-6
H16_B2553,0.25,9.560351159301467e-5,13.494,7.084890439677981e-6
H16_B2552,0.25,9.545804517234242e-5,101.644,9.391409741090711e-7
H16_B2551,0.25,2.838125521941525e-7,53.507,5.30421350840362e-9
H16_B2550,0.25,1.6017244668055123e-5,17.365,9.223866782640439e-7
H16_B2546,0.25,3.362017771475039e-5,32.497,1.0345625046850599e-6
H16_B2545,0.25,5.8868215057926484e-5,30.945,1.9023498160583774e-6
H16_B2544,0.25,3.4023669687460484e-5,81.924,4.1530772041722187e-7
H16_B2542,0.25,2.2040091562888198e-6,11.606,1.899025638711718e-7
H16_B2540,0.25,2.7446282876394546e-6,30.978,8.85992732790837e-8
H16_B2538,0.25,1.5095356417872863e-5,20.079,7.517982179328086e-7
H16_B2537,0.25,1.449106655326518e-6,7.767,1.8657224865797838e-7
H16_B2536,0.25,1.3738023201067496e-5,15.635,8.786711353417011e-7
H16_B2535,0.25,1.984246046996704e-5,33.539,5.916234971217699e-7
H16_B2534,0.25,1.7508098495958827e-4,27.462,6.375390902322783e-6
H16_B2533,0.25,1.4980295249619663e-5,33.597,4.4588193141112786e-7
H16_B2532,0.25,5.8228890676880195e-6,41.59,1.400069504132729e-7
H16_B2531,0.25,0.0011252678638335907,49.397,2.2780085103014163e-5
H16_B2529,0.25,4.188278195182066e-5,20.723,2.0210771583178427e-6
H16_B2527,0.25,NaN,37.048,0
H16_B2526,0.25,1.1955702046900273e-6,38.973,3.067688411695346e-8
H16_B2524,0.25,3.277607040747837e-6,25.407,1.2900409496390116e-7
H16_B2523,0.25,6.797657931631493e-6,33.858,2.007696240661437e-7
H16_B2522,0.25,1.074157758991936e-5,60.253,1.7827456873382836e-7
H16_B2521,0.25,3.1611401415850405e-8,31.852,9.924463586541006e-10
H16_B2520,0.25,1.249552804945811e-7,34.707,3.6002904455752756e-9
H16_B2519,0.25,2.7698256754319755e-7,42.427,6.52845045709566e-9
H16_B2518,0.25,2.6460005863866956e-5,39.841,6.641401035081187e-7
H16_B2516,0.25,9.8931671238019e-7,32.251,3.067553602617562e-8
H16_B2515,0.25,1.2321943720279625e-4,35.656,3.455784081298975e-6
H16_B2514,0.25,1.0312200779192991e-4,24.878,4.145108440868635e-6
H16_B2513,0.25,NaN,45.141,0
H16_B2512,0.25,2.003050968545378e-6,33.021,6.065991243588559e-8
H16_B2511,0.25,2.2218884709969745e-7,43.247,5.137670754033747e-9
H16_B2510,0.25,2.4425057778842143e-5,25.857,9.446207131083321e-7
H16_B2509,0.25,3.042632960761627e-5,45.198,6.731786717911472e-7
H16_B2508,0.25,9.344918081641244e-5,37.416,2.4975727179926354e-6
H16_B2507,0.25,2.845084241584168e-5,120.703,2.3570948871065078e-7
H16_B2505,0.25,1.8984770396973825e-5,55.297,3.433236956249674e-7
H16_B2504,0.25,NaN,23.811,0
H16_B2503,0.25,1.0695818468039064e-4,19.085,5.604306244715255e-6
H16_B2502,0.25,4.018892132630812e-4,30.13,1.3338506912150056e-5
H16_B2501,0.25,6.413001615498605e-6,35.197,1.822030745659745e-7
H16_B2500,0.25,3.903936242667946e-5,56.168,6.950463329062715e-7
H16_B2499,0.25,9.6995263252708e-5,89.652,1.0819085268896177e-6
H16_B2498,0.25,2.6665566123546912e-5,24.047,1.1088936717073611e-6
H16_B2497,0.25,5.688008848827852e-6,35.356,1.608781776453177e-7
H16_B2496,0.25,8.326672163717631e-6,23.656,3.519898615031126e-7
H16_B2493,0.25,4.242344308478221e-6,41.505,1.0221284925860067e-7
H16_B2492,0.25,2.076380055195227e-6,33.788,6.145318027688016e-8
H16_B2491,0.25,8.904759741417967e-7,13.666,6.515995713023538e-8
H16_B2486,0.25,2.123092259020938e-5,12.718,1.6693601659230523e-6
H16_B2484,0.25,6.5271911055482e-5,29.188,2.236258430021995e-6
H16_B2483,0.25,3.6514471211237445e-5,38.52,9.479353896998299e-7
H16_B2482,0.25,4.361579236345902e-6,25.781,1.6917804725751143e-7
H16_B2481,0.25,7.178521024046184e-7,57.062,1.2580212793183176e-8
H16_B2480,0.25,2.340935858906501e-5,42.917,5.454565461021276e-7
H16_B2479,0.25,4.8561078657944204e-5,27.238,1.7828430375924886e-6
H16_B2478,0.25,3.80736632103584e-6,29.211,1.3034015682571085e-7
H16_B2477,0.25,4.774169980181153e-6,33.847,1.4105149585431953e-7
H16_B2476,0.25,7.702174725468443e-6,78.562,9.80394430573107e-8
H16_B2475,0.25,4.9235749753305454e-6,9.49,5.188171733751892e-7
H16_B2473,0.25,1.5674688064744123e-4,59.721,2.6246526455926936e-6
H16_B2472,0.25,NaN,51.723,0
H16_B2471,0.25,3.5282394264782137e-6,59.926,5.8876604920705767e-8
H16_B2470,0.25,4.2168967248000566e-5,38.645,1.0911881808254772e-6
H16_B2469,0.25,3.284857683732452e-4,34.657,9.478193968700268e-6
H16_B2468,0.25,8.999282837683794e-5,19.104,4.710679877347044e-6
H16_B2467,0.25,1.7036713071334453e-5,24.191,7.042583221584248e-7
H16_B2464,0.25,1.8156733558891466e-8,32.261,5.628075248408749e-10
H16_B2463,0.25,1.5275528428063584e-4,74.461,2.051480429763713e-6
H16_B2461,0.25,1.8644810139020816e-5,15.318,1.2171830616934858e-6
H16_B2460,0.25,2.577980232238858e-6,37.994,6.785229857974569e-8
H16_B2459,0.25,7.070042347605425e-6,35.358,1.9995594625276952e-7
H16_B2457,0.25,1.2735943220702099e-5,28.833,4.4171411995637285e-7
H16_B2456,0.25,6.65282344729333e-5,25.803,2.5783139353150134e-06
H16_B2455,0.25,1.1570018648772328e-5,19.731,5.86387849007771e-7
H16_B2454,0.25,7.813937010419479e-6,46.231,1.6901942442126452e-7
H16_B2453,0.25,7.0766509480877025e-6,48.373,1.462934064062122e-7
H16_B2452,0.25,1.1948195902466341e-4,58.286,2.0499255228470542e-6
H16_B2451,0.25,8.70059363265274e-5,41.721,2.085423080140155e-6
H16_B2450,0.25,3.5581166547980184e-5,29.144,1.2208745041168057e-6
