locus_tag,growthrate,mass_g_per_gDCW,MolWeight,conc_mmol_gDCW
H16_A0183,0.25,2.8458456231456974e-4,37.3,7.629612930685516e-6
H16_A0181,0.25,9.583733099281216e-5,42.608,2.2492802054264966e-6
H16_A1445,0.25,7.544900147943535e-4,40.904,1.844538467617723e-5
H16_A1402,0.25,7.059195121105184e-6,30.128,2.3430679504464897e-7
H16_B1392,0.25,1.800999755757132e-4,27.065,6.65434973492382e-6
PHG424,0.25,3.01252266793042e-4,27.063,1.113151782112264e-5
H16_B1393,0.25,1.2076943166460321e-4,35.06,3.444650076001233e-6
PHG425,0.25,1.3310567617375865e-4,34.946,3.808895901498273e-6
H16_A0253,0.25,3.084056830064561e-5,44.932,6.863831634613553e-7
PHG214,0.25,5.577561223449206e-5,23.653,2.358077716758638e-6
H16_B1396,0.25,2.266720753536701e-5,34.826,6.508702559974447e-7
H16_A0705,0.25,0.0025379743338537646,10.464,2.4254341875513808e-4
H16_A0706,0.25,0.018683365931026787,57.329,3.2589729335984907e-4
H16_A1483,0.25,1.8784624957678893e-4,23.495,7.995158526358328e-6
H16_A3053,0.25,9.827833604679951e-6,12.204,8.052961000229393e-7
H16_A1484,0.25,5.587921537249717e-4,46.612,1.1988160853964037e-5
H16_A0367,0.25,5.11032532945685e-4,18.359,2.783553205216433e-5
H16_A2968,0.25,8.271266797328262e-5,35.702,2.3167516658249575e-6
H16_A3283,0.25,4.231286442397763e-5,22.697,1.8642492146088751e-6
H16_A3442,0.25,2.0466133328422308e-5,11.986,1.7075031977659192e-6
PHG003,0.25,1.2901294978369198e-4,27.581,4.677602327098074e-6
H16_B0046,0.25,3.6750400461329737e-4,16.578,2.216817496762561e-5
H16_A3141,0.25,4.872604742901597e-4,27.404,1.778063327580498e-5
H16_A2066,0.25,5.772736550018698e-4,29.538,1.9543423894707488e-5
H16_A2069,0.25,1.9449846451967572e-4,41.357,4.702915214345231e-6
H16_A0227,0.25,3.8707075353028146e-5,31.081,1.2453613253443631e-6
H16_A2931,0.25,1.1621171289380982e-4,21.272,5.463130542206178e-6
H16_A0299,0.25,7.56063687048851e-5,45.939,1.645799183806463e-6
H16_A3633,0.25,2.6818778392802094e-4,39.663,6.761661597156568e-6
H16_A3271,0.25,6.478068461054886e-4,34.924,1.8549044957779427e-5
H16_A1557,0.25,1.7766412295949508e-4,34.27,5.184246365902978e-6
H16_B1960,0.25,8.099845877461418e-5,54.882,1.4758656531215003e-6
H16_A2323,0.25,9.629624509513324e-4,50.267,1.9156950901214165e-5
H16_A0001,0.25,1.382784998522451e-4,64.647,2.138977831179252e-6
H16_A3088,0.25,2.546188706206261e-4,41.349,6.157799961803819e-6
H16_A3089,0.25,0.002365679435484561,69.907,3.384037986874792e-5
H16_A2060,0.25,3.805547293356309e-5,76.256,4.990489001988445e-7
H16_A2110,0.25,6.381899605710045e-6,17.437,3.659975687165249e-7
H16_A0491,0.25,5.125524081094042e-6,16.242,3.155722251627904e-7
H16_A1443,0.25,4.0483240938851805e-8,34.78,1.1639804755276539e-9
H16_A2049,0.25,7.182220234903209e-4,41.485,1.7312812425944823e-5
H16_A2732,0.25,4.76520265977303e-4,68.683,6.93796523124067e-6
H16_A2549,0.25,0.0012568286227326063,20.984,5.9894616028050246e-5
H16_A2054,0.25,0.0016403333773732287,30.94,5.301659267528212e-5
H16_A3491,0.25,0.02893286136286048,43.046,6.721382094238833e-4
H16_A3452,0.25,2.605003406807753e-4,25.752,1.0115732396737159e-5
H16_A1188,0.25,0.0029672415616100187,45.846,6.472192910199404e-5
H16_A0485,0.25,5.322420738270538e-5,13.138,4.051165122751209e-6
H16_A0999,0.25,1.8532787739717805e-4,37.505,4.941417874874765e-6
H16_B1390,0.25,6.290282122966453e-4,39.607,1.588174343668153e-5
PHG422,0.25,5.525903767770356e-4,39.777,1.3892208481711431e-5
H16_A2569,0.25,2.7708389849466974e-4,34.609,8.00612264135542e-6
H16_A2044,0.25,8.136499410506656e-5,17.027,4.77858660392709e-6
H16_A0643,0.25,9.092922351397572e-5,30.661,2.9656313725571807e-6
H16_B1455,0.25,9.686574555204499e-5,30.207,3.206731736089151e-6
H16_A1199,0.25,1.925612245272525e-4,38.628,4.985016685493748e-6
H16_A2592,0.25,7.139001824089312e-4,40.324,1.770410133937435e-5
H16_A2344,0.25,9.670561968613772e-5,10.297,9.391630541530322e-6
H16_B0919,0.25,7.41448702199026e-6,22.489,3.296939402370163e-7
H16_B0235,0.25,1.4149301673093406e-5,11.827,1.1963559375237514e-6
H16_A1370,0.25,3.2676888016718974e-4,29.863,1.0942265685536944e-5
H16_A0377,0.25,6.334714647816541e-6,31.923,1.9843732255165683e-7
H16_B1386,0.25,0.0013349122483461249,35.94,3.714280045481705e-5
PHG418,0.25,0.0013164304785685328,35.898,3.6671415637877673e-5
H16_A0111,0.25,1.9390133403792236e-4,53.541,3.6215486083174083e-6
H16_A0108,0.25,5.224368226871666e-4,52.613,9.929804852168981e-6
H16_A0112,0.25,1.9038803603381707e-5,11.031,1.7259363252091113e-6
H16_A2731,0.25,2.0532111515093274e-4,29.944,6.856836600017791e-6
H16_A3627,0.25,1.2878992027710713e-4,41.722,3.08685873824618e-6
H16_A3619,0.25,2.5488554178732117e-4,40.103,6.355772430674043e-6
H16_A2445,0.25,2.5292220437965105e-4,47.65,5.307916146477462e-6
H16_A0262,0.25,3.469348796680006e-4,48.358,7.174301659870147e-6
H16_A2834,0.25,0.0018295347927095905,45.112,4.0555390865170925e-5
H16_A0336,0.25,3.5380621322170344e-4,34.688,1.0199671737249292e-5
H16_B1387,0.25,7.144620321317952e-4,23.77,3.0057300468312795e-5
PHG419,0.25,4.48441375004556e-4,23.603,1.899933800807338e-5
H16_A0332,0.25,3.2735293027989776e-4,27.865,1.1747817343617361e-5
H16_A0734,0.25,2.784355329700459e-4,45.452,6.125924777128529e-6
H16_A2028,0.25,5.745702765085157e-4,59.685,9.626711510572433e-6
H16_A2251,0.25,2.222584489740387e-5,74.286,2.9919291518460904e-7
H16_A3339,0.25,1.7338445029082788e-5,47.474,3.6521980513718643e-7
H16_A1134,0.25,1.2043909811985832e-5,41.324,2.9145072626042575e-7
H16_A3615,0.25,1.301311885662288e-4,54.499,2.387772042904068e-6
H16_A2359,0.25,1.6684113513409472e-5,8.798,1.8963529794736839e-6
H16_B1671,0.25,4.5022573145201076e-5,48.708,9.243363132380939e-7
H16_A3417,0.25,2.633568621282294e-4,23.949,1.0996570300564925e-5
H16_A3408,0.25,9.660524129058533e-5,13.235,7.299224880286009e-6
H16_A3409,0.25,3.961509605347997e-5,15.507,2.5546589316747253e-6
H16_A3411,0.25,3.5127710105872377e-4,26.331,1.3340818846937973e-5
H16_A3410,0.25,1.5621138402385838e-4,27.08,5.768514919640265e-6
H16_A3414,0.25,9.287455187527284e-5,21.501,4.319545689748051e-6
H16_A2355,0.25,4.720914781904349e-4,41.648,1.133527367917871e-5
H16_A0804,0.25,2.710017617453127e-4,37.428,7.240615628548485e-6
PHG200,0.25,0.001440945446732234,44.782,3.217688907892086e-5
H16_A1807,0.25,9.250862364518807e-6,37.818,2.446153250970122e-7
H16_B0552,0.25,3.0510687531494928e-6,37.957,8.038224183021558e-8
H16_B0595,0.25,1.6664144151578364e-5,36.732,4.536683042463891e-7
PHG019,0.25,7.668045076699352e-5,53.587,1.4309524841284923e-6
PHG088,0.25,0.0030058808485419757,66.784,4.500899689359691e-5
PHG091,0.25,0.001674449047896584,54.863,3.052055206417046e-5
PHG006,0.25,1.0158072781126667e-4,11.641,8.726116984044899e-6
PHG005,0.25,3.402673113322863e-5,22.254,1.5290164075325167e-6
PHG007,0.25,2.0350983562788448e-4,17.719,1.148540186398129e-5
PHG008,0.25,2.2068472056243667e-4,30.994,7.120240064607235e-6
PHG089,0.25,0.001068981544839758,26.173,4.084291234630183e-5
PHG011,0.25,1.3957714970739646e-4,41.539,3.3601470836417935e-6
PHG090,0.25,6.294633550137523e-4,22.881,2.7510307897983144e-5
H16_A0386,0.25,4.6935756937207016e-4,13.645,3.439776983305754e-5
H16_A0383,0.25,4.8140231668291406e-5,35.691,1.3488059081642824e-6
H16_A1163,0.25,1.5919360921685895e-4,66.712,2.386281466855422e-6
H16_A0200,0.25,5.442220053840576e-4,49.449,1.1005723177092714e-5
H16_A0199,0.25,2.862388131393462e-6,19.037,1.5035920215335727e-7
H16_A2654,0.25,7.423332332461769e-4,71.101,1.0440545607602945e-5
H16_A3015,0.25,9.598161798089255e-6,44.135,2.1747279479073877e-7
PHG012,0.25,3.9755644833696566e-5,12.858,3.091899582648667e-6
PHG013,0.25,7.79233826210633e-4,38.483,2.0248780661867134e-5
PHG015,0.25,3.412960296932189e-5,9.79,3.486169864077823e-6
PHG016,0.25,4.167366196368305e-4,41.907,9.944320033331675e-6
PHG017,0.25,3.644325044043025e-4,36.596,9.958260585973945e-6
PHG014,0.25,1.747779837757343e-4,40.677,4.296727481764494e-6
PHG096,0.25,5.3180827240022145e-6,86.438,6.152482385064688e-8
H16_A2433,0.25,6.271188886829528e-4,8.394,7.471037511114521e-5
H16_A3463,0.25,2.5082947129750884e-5,8.225,3.049598435228071e-6
H16_B1924,0.25,3.085240180146996e-5,8.472,3.6416904864813458e-6
H16_A2306,0.25,0.0012764044398063169,103.71,1.2307438432227527e-5
H16_A1037,0.25,0.0017219725734473473,36.479,4.720448952677835e-5
H16_A0374,0.25,6.066832094406126e-5,31.508,1.925489429480172e-6
H16_A1457,0.25,2.2773908835235443e-5,17.836,1.2768506859853915e-6
H16_A0603,0.25,4.574511896357841e-4,24.202,1.8901379622997443e-5
H16_A2777,0.25,2.875248174718551e-4,81.975,3.5074695635480952e-6
H16_A0797,0.25,7.905910934735366e-5,23.969,3.298389976526082e-6
H16_A1186,0.25,4.0089924593463363e-4,30.987,1.2937659209818104e-5
H16_A0604,0.25,8.712845947141409e-5,28.385,3.0695247303651255e-6
H16_A2744,0.25,1.3979822909231744e-4,37.543,3.7236829526760636e-6
PHG421,0.25,5.257490329322767e-4,33.161,1.5854438434675573e-5
H16_B1389,0.25,5.205359227649166e-4,33.316,1.562420226812692e-5
H16_A1569,0.25,6.325814583650254e-5,22.879,2.7648999447747952e-6
H16_B2355,0.25,2.172112616619434e-6,37.947,5.724069403693135e-8
H16_A1419,0.25,3.7036744920052863e-5,69.085,5.36104001158759e-7
PHG116,0.25,6.613437350090449e-6,68.83,9.608364594058476e-8
H16_A2814,0.25,7.424024951365616e-7,23.229,3.196015735229935e-8
H16_A0666,0.25,1.0728724901547334e-4,36.756,2.918904369775638e-6
H16_A2558,0.25,1.3969358000000596e-4,65.911,2.1194274096889133e-6
H16_A1041,0.25,3.9697219612377943e-4,55.788,7.115727327091479e-6
H16_A2281,0.25,5.500686660780249e-5,23.635,2.327347857321874e-6
H16_A1403,0.25,NaN,27.503,0
H16_A2985,0.25,2.030549368936679e-6,30.34,6.692647887068817e-8
H16_A0123,0.25,1.080195134345437e-4,37.024,2.917553841684953e-6
H16_A0122,0.25,1.1036646749499205e-5,28.367,3.8906640637004986e-7
H16_A0755,0.25,1.9393039349754944e-4,22.977,8.440196435459348e-6
H16_A0375,0.25,5.343605173745229e-6,21.427,2.4938652978696174e-07
H16_A0511,0.25,7.551984212223847e-5,90.866,8.311122105324156e-7
H16_A2043,0.25,4.95134121762526e-4,28.288,1.7503327268188845e-5
H16_A3266,0.25,5.698727881317834e-5,33.363,1.7080981570355885e-6
H16_A2045,0.25,8.391882732873358e-5,37.925,2.2127574773561918e-6
H16_A0606,0.25,2.8180813121530985e-5,40.172,7.01503861434108e-7
H16_A1562,0.25,3.0445198484202372e-5,30.439,1.0002036362627672e-6
PHG002,0.25,7.236628347478887e-4,68.795,1.0519119627122446e-5
PHG001,0.25,2.7453483842269146e-4,39.472,6.9551793276928314e-6
H16_A2634,0.25,0.003277893591623765,35.102,9.33819609031897e-5
H16_B1581,0.25,0.01630723847754651,88.039,1.8522743872086817e-4
H16_A0230,0.25,0.0011515549136381306,42.088,2.7360647064201925e-5
H16_A0811,0.25,1.1642321672552558e-4,37.097,3.1383458696262656e-6
H16_A0211,0.25,2.4436489794911736e-5,43.007,5.6819796300397e-7
H16_A3070,0.25,1.4462119184682805e-5,35.207,4.1077397065023444e-7
H16_A0528,0.25,4.968884334217522e-4,50.301,9.878301294641303e-6
H16_A0086,0.25,1.432987961767595e-4,28.822,4.971854700463518e-6
H16_A0084,0.25,1.8368944120113e-4,9.452,1.9433923106340457e-5
H16_A2509,0.25,6.499210911412815e-5,13.197,4.924763894379642e-6
H16_A3126,0.25,1.1592713615737023e-4,39.395,2.9426865378187645e-6
H16_A1481,0.25,1.1969610909934668e-5,69.737,1.7163931499684054e-7
H16_A0103,0.25,1.9968094767632805e-4,51.016,3.914084751378549e-6
H16_A3648,0.25,1.309576224280643e-4,71.5,1.8315751388540462e-6
H16_A0554,0.25,4.44531364357513e-5,16.635,2.6722654905771744e-6
H16_A2582,0.25,6.548918565592845e-5,21.196,3.089695492353673e-6
H16_A3399,0.25,5.107371037390584e-5,15.246,3.3499744440447222e-6
H16_A3418,0.25,4.061816478192134e-4,44.346,9.15937509176055e-6
H16_A3272,0.25,3.0040296765889986e-4,50.425,5.957421272362912e-6
H16_A3273,0.25,9.768327988233622e-4,37.814,2.5832569916521984e-5
H16_A1210,0.25,1.8113148329312108e-4,97.586,1.8561216085618951e-6
PHG211,0.25,2.983359488148241e-4,93.346,3.196022848486535e-6
PHG212,0.25,8.402300334909854e-6,18.924,4.4400234278745787e-7
H16_A2368,0.25,0.0012038045020728756,15.336,7.849533790250884e-5
H16_B2325,0.25,3.4117474159160467e-6,56.494,6.039132325408091e-8
PHG252,0.25,1.9028745563642025e-4,70.085,2.7150953219151064e-6
H16_A2835,0.25,4.7525122765932955e-5,17.972,2.6443981062726995e-6
H16_A1051,0.25,2.4683365074777615e-4,17.635,1.3996804692247018e-5
H16_A1052,0.25,2.361033927025325e-4,22.874,1.0321911021357546e-5
H16_A1053,0.25,1.8476631939584986e-4,47.828,3.86314124353621e-6
H16_A1057,0.25,2.4552929659923065e-6,39.477,6.21955307138918e-8
H16_A1058,0.25,1.2517615434762814e-4,18.497,6.7673760257137984e-6
H16_A2856,0.25,1.5029035816571144e-4,18.797,7.995443856238307e-6
H16_A3250,0.25,3.2350745234985734e-4,39.779,8.132619028881e-6
H16_A2325,0.25,9.594928556764009e-4,105.996,9.052160984154127e-6
H16_A2324,0.25,8.321214317552985e-4,43.25,1.923980189029592e-5
H16_A1374,0.25,8.835411514486023e-4,100.365,8.803279544149876e-6
H16_A1375,0.25,8.039469550607655e-4,56.582,1.4208528420005754e-5
H16_A1560,0.25,6.297734807324037e-6,23.584,2.67034209944201e-7
H16_A1558,0.25,4.7772387226813354e-5,28.312,1.6873547339224834e-6
H16_A1561,0.25,5.6611925406847354e-5,44.532,1.2712639317085995e-6
H16_A3084,0.25,9.941265747052182e-5,28.678,3.4665129182830676e-6
H16_A2959,0.25,2.3246004260673103e-4,31.973,7.270510824968912e-6
H16_A3129,0.25,1.7456782685641476e-4,13.507,1.2924248675236155e-5
H16_A0129,0.25,8.157760383770053e-6,22.781,3.580949204938349e-7
H16_B0319,0.25,1.1906442419983312e-4,35.491,3.354777949334567e-6
H16_A2802,0.25,2.9298617657309785e-4,24.081,1.2166694762389346e-5
H16_A2552,0.25,2.545993232582049e-4,27.808,9.155614328905529e-6
H16_B1385,0.25,9.379652652137451e-4,42.284,2.2182510292634214e-5
PHG417,0.25,8.502318397540224e-4,42.299,2.0100518682569857e-5
H16_A1439,0.25,0.001558874550457328,26.37,5.911545507991384e-5
H16_A1437,0.25,1.1877481572369904e-4,64.317,1.8467095126280618e-6
H16_B0293,0.25,6.518445109822209e-6,29.873,2.1820523917324035e-7
H16_B1953,0.25,3.0561580663286586e-5,40.913,7.469894816632021e-7
H16_A1622,0.25,1.3292028313941882e-5,27.645,4.808112973030162e-7
H16_A2375,0.25,2.5216828162463625e-5,32.108,7.853752386465562e-7
H16_A2570,0.25,1.1205710930713036e-4,38.257,2.9290615915291416e-6
H16_A0588,0.25,6.192027301295494e-6,21.263,2.912113672245447e-7
H16_A2589,0.25,6.55131506892047e-5,45.18,1.4500476026827073e-6
H16_A1045,0.25,0.002682366560017686,77.729,3.450921226334683e-5
H16_A3062,0.25,1.0293332470509862e-4,11.486,8.961633702341862e-6
H16_B1052,0.25,6.120303853717668e-6,32.588,1.8780851398421715e-7
H16_A3173,0.25,1.680398897114839e-4,32.38,5.189619818143419e-6
H16_A3136,0.25,3.992961716261699e-4,45.546,8.766876819614674e-6
H16_A3249,0.25,1.959017448253668e-4,39.463,4.9641878424186405e-6
H16_A1038,0.25,1.9706616858269177e-5,23.978,8.218624096367161e-7
H16_A2039,0.25,3.1968124199291593e-4,30.305,1.054879531407081e-5
H16_A0326,0.25,8.471620257426019e-5,64.3,1.3175148145297073e-6
H16_A0370,0.25,3.322942542446978e-5,21.548,1.5421118166173093e-6
H16_A0325,0.25,1.641610220059094e-5,9.476,1.732387315385283e-6
H16_A3077,0.25,9.2712668403942e-4,37.258,2.4883962747313866e-5
H16_A0569,0.25,2.5746092072695897e-4,33.396,7.709334073750119e-6
H16_A0501,0.25,9.470643083428426e-4,55.987,1.691578952869135e-5
H16_A1892,0.25,4.003498048926262e-4,42.8,9.353967404033324e-6
H16_A0126,0.25,4.6210872973124743e-05,26.65,1.7339914811679077e-6
H16_A2913,0.25,3.431425569895771e-4,35.368,9.702062796583835e-6
H16_A0479,0.25,2.857854019889275e-4,37.534,7.614040656176466e-6
H16_A1401,0.25,7.791309797924476e-5,36.644,2.126217060889771e-6
H16_A0224,0.25,3.4046458101723407e-4,23.826,1.4289623982927646e-5
H16_A3157,0.25,2.26123663870087e-4,29.642,7.628488761557486e-6
H16_A1185,0.25,8.962164929673601e-4,60.794,1.4741857633440143e-5
H16_A2053,0.25,4.7184508333861794e-4,25.272,1.8670666482218186e-5
H16_B2579,0.25,2.6502050989042e-4,10.681,2.4812331232133697e-5
H16_B2578,0.25,4.152416137506793e-6,48.066,8.638988344165924e-8
H16_B2577,0.25,7.985898309333063e-6,18.725,4.2648322079215286e-7
H16_B2574,0.25,3.035541784713617e-6,13.578,2.2356324824816742e-7
H16_B2570,0.25,1.0444120223163148e-5,77.942,1.3399861721745845e-7
H16_B2569,0.25,2.1202322698565517e-7,44.973,4.71445593991184e-9
H16_B2567,0.25,1.5506944909341063e-4,65.837,2.355354118404706e-6
H16_B2566,0.25,2.6043087186179215e-4,54.347,4.792000880670362e-6
H16_B2565,0.25,7.101183691033235e-5,24.014,2.9571015620193365e-6
H16_B2564,0.25,5.278368524206519e-5,34.74,1.5193922061619225e-6
H16_B2563,0.25,3.176056320291355e-5,25.624,1.239484982942302e-6
H16_B2562,0.25,6.454495488207141e-6,47.223,1.3668118264843702e-7
H16_B2561,0.25,3.5829286247903946e-5,32.432,1.1047510559911181e-6
H16_B2559,0.25,1.485359963216521e-5,16.554,8.972816015564342e-7
H16_B2557,0.25,3.0254855253124543e-6,60.819,4.9745729546892484e-8
H16_B2555,0.25,1.4448755587943892e-4,41.575,3.4753471047369557e-6
H16_B2553,0.25,5.608494163386065e-5,13.494,4.156287359853316e-6
H16_B2552,0.25,1.2336218432867525e-4,101.644,1.213669122906175e-6
H16_B2551,0.25,4.578447555501116e-6,53.507,8.556726326464044e-8
H16_B2550,0.25,2.5620255366931467e-5,17.365,1.4753962203818869e-6
H16_B2546,0.25,1.6173980836867132e-5,32.497,4.97706891001235e-7
H16_B2545,0.25,4.0483148410565526e-5,30.945,1.3082290648106489e-6
H16_B2544,0.25,4.457905365917475e-5,81.924,5.441513312237531e-7
H16_B2542,0.25,8.931345848401868e-7,11.606,7.695455668104315e-8
H16_B2540,0.25,5.515957881861381e-6,30.978,1.7806049073088583e-7
H16_B2538,0.25,8.73422237807037e-6,20.079,4.3499289696052443e-7
H16_B2537,0.25,6.360363427619317e-6,7.767,8.188957676862775e-7
H16_B2536,0.25,3.9213689942564254e-5,15.635,2.5080709908899426e-6
H16_B2535,0.25,1.7446394972579066e-5,33.539,5.201823242368308e-7
H16_B2534,0.25,2.136291175332127e-4,27.462,7.779080821979925e-6
H16_B2533,0.25,1.4536108879906713e-5,33.597,4.326609185316163e-7
H16_B2532,0.25,1.9764739387517296e-6,41.59,4.752281651242437e-8
H16_B2531,0.25,7.925201239255695e-4,49.397,1.6043891813785643e-5
H16_B2529,0.25,8.539043921162725e-5,20.723,4.120563586914407e-6
H16_B2527,0.25,8.433479398510068e-6,37.048,2.2763656333702408e-7
H16_B2526,0.25,5.035879928428367e-6,38.973,1.2921458261946392e-7
H16_B2524,0.25,3.6352264555117797e-6,25.407,1.43079720372802e-7
H16_B2523,0.25,1.4168850648175833e-5,33.858,4.1847866525417426e-7
H16_B2522,0.25,2.1700501353749452e-5,60.253,3.601563632308674e-7
H16_B2521,0.25,5.363282126070427e-8,31.852,1.6838133009137345e-9
H16_B2520,0.25,8.555981444411878e-7,34.707,2.46520340116169e-8
H16_B2519,0.25,2.360382675544611e-6,42.427,5.5633975429434344e-8
H16_B2518,0.25,6.656764592554332e-5,39.841,1.670832708153493e-6
H16_B2516,0.25,1.3541481654183796e-6,32.251,4.198778845364112e-8
H16_B2515,0.25,6.346796911249238e-5,35.656,1.7800081083826673e-6
H16_B2514,0.25,1.0268011411082291e-4,24.878,4.12734601297624e-6
H16_B2513,0.25,1.1977663859442178e-6,45.141,2.6533891272772375e-8
H16_B2512,0.25,2.2776542207425122e-6,33.021,6.8975931096651e-8
H16_B2511,0.25,2.58124032694681e-5,43.247,5.968599733962611e-7
H16_B2510,0.25,1.8117291803376367e-5,25.857,7.006726148964059e-7
H16_B2509,0.25,4.0670445043512576e-5,45.198,8.998284225742859e-7
H16_B2508,0.25,7.19294072430496e-5,37.416,1.9224237556940773e-6
H16_B2507,0.25,2.129530093211392e-5,120.703,1.7642727133637044e-7
H16_B2505,0.25,2.9934533141224024e-5,55.297,5.41340997544605e-7
H16_B2504,0.25,1.961593751026253e-7,23.811,8.23818298696507e-9
H16_B2503,0.25,6.276591574110327e-5,19.085,3.2887563919886438e-6
H16_B2502,0.25,3.8699484743132855e-4,30.13,1.2844170176944194e-5
H16_B2501,0.25,2.274226620304695e-6,35.197,6.461421769766444e-8
H16_B2500,0.25,4.582729442254989e-6,56.168,8.158968527017144e-8
H16_B2499,0.25,1.0093293719027877e-4,89.652,1.1258302903479985e-6
H16_B2498,0.25,6.971718862985387e-5,24.047,2.8992052492973704e-6
H16_B2497,0.25,2.998167784176752e-6,35.356,8.479940559386673e-8
H16_B2496,0.25,2.100061396390534e-5,23.656,8.877499984741858e-7
H16_B2493,0.25,7.510143131259695e-6,41.505,1.8094550370460656e-7
H16_B2492,0.25,1.1991791748110964e-5,33.788,3.549127426338038e-7
H16_B2491,0.25,2.0329390961282133e-6,13.666,1.4875889771170886e-7
H16_B2486,0.25,7.543217421930726e-6,12.718,5.931134944119143e-7
H16_B2484,0.25,1.765603234867811e-5,29.188,6.049072340920279e-7
H16_B2483,0.25,1.7315584180498144e-4,38.52,4.495219153815717e-6
H16_B2482,0.25,7.406476376482305e-6,25.781,2.87284293723374e-7
H16_B2481,0.25,7.08138770655671e-7,57.062,1.2409988620372068e-8
H16_B2480,0.25,2.5263417648904293e-5,42.917,5.886575867116596e-7
H16_B2479,0.25,2.5895471418778182e-5,27.238,9.507111909383282e-7
H16_B2478,0.25,3.91371333937268e-6,29.211,1.33980806524004e-7
H16_B2477,0.25,1.0287599508240689e-5,33.847,3.0394420504743963e-7
H16_B2476,0.25,2.0971845301122933e-7,78.562,2.6694642831296213e-9
H16_B2475,0.25,7.263008103455671e-5,9.49,7.653327822397967e-6
H16_B2473,0.25,3.995126494080876e-4,59.721,6.6896510341100725e-6
H16_B2472,0.25,3.234791255414513e-6,51.723,6.254067349949757e-8
H16_B2471,0.25,6.027296355546587e-6,59.926,1.005789866760102e-7
H16_B2470,0.25,8.331750869184391e-5,38.645,2.1559712431580777e-6
H16_B2469,0.25,9.010325884778187e-5,34.657,2.599857427007008e-6
H16_B2468,0.25,1.2126653210781804e-4,19.104,6.347703732611916e-6
H16_B2467,0.25,3.6794598986671116e-5,24.191,1.521003637165521e-6
H16_B2464,0.25,8.180157407318759e-8,32.261,2.5356180550258073e-9
H16_B2463,0.25,6.930859728472674e-5,74.461,9.308040086048636e-7
H16_B2461,0.25,8.197470464621888e-6,15.318,5.351527917888685e-7
H16_B2460,0.25,5.71115341818279e-6,37.994,1.503172453067008e-7
H16_B2459,0.25,9.64535135231379e-6,35.358,2.7279120290496605e-7
H16_B2457,0.25,1.384355210050378e-5,28.833,4.801287448584532e-7
H16_B2456,0.25,1.0308144094982338e-4,25.803,3.994940160052063e-6
H16_B2455,0.25,2.1739634397789434e-5,19.731,1.1018009425669977e-6
H16_B2454,0.25,6.3347198852667075e-6,46.231,1.370232070529884e-7
H16_B2453,0.25,1.9704027516169034e-5,48.373,4.0733523900045547e-7
H16_B2452,0.25,4.4977453310949236e-5,58.286,7.716682103927056e-7
